,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
15540,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,7,2,2,81,6.0,13,4.0,106.0
15541,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,8,1,3,97,7.0,9,2.0,118.0
15542,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,9,2,2,76,6.0,10,7.0,101.0
15543,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,10,0,0,65,5.0,7,3.0,80.0
15544,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,11,1,0,71,6.0,9,4.0,90.0
15545,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,12,0,3,61,5.0,6,2.0,77.0
15546,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,13,2,0,55,7.0,5,5.0,72.0
15547,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,14,0,1,49,6.0,5,5.0,66.0
15548,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,15,4,4,117,9.0,8,3.0,141.0
15549,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,16,2,2,122,8.0,10,6.0,148.0
15550,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,17,5,3,101,6.0,7,4.0,121.0
15551,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,N,2012,2012-09-12,18,3,1,95,8.0,4,5.0,113.0
15552,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,7,3,5,72,9.0,13,3.0,102.0
15553,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,8,3,4,98,7.0,15,4.0,128.0
15554,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,9,4,2,112,6.0,11,2.0,133.0
15555,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,10,3,0,89,5.0,9,4.0,107.0
15556,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,11,0,0,66,6.0,7,2.0,81.0
15557,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,12,2,1,73,6.0,12,2.0,94.0
15558,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,13,0,0,85,5.0,9,3.0,102.0
15559,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,14,2,2,101,7.0,6,6.0,122.0
15560,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,15,3,3,92,8.0,11,4.0,118.0
15561,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,16,5,5,103,7.0,8,4.0,127.0
15562,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,17,3,8,117,5.0,7,6.0,143.0
15563,London,E09000002,Barking and Dagenham,942493,51.552016608,0.124329952,B191,BU,S,2012,2012-09-12,18,2,4,92,6.0,6,6.0,114.0
15564,London,E09000002,Barking and Dagenham,942495,51.529927124,0.082383735,C,CU,N,2012,2012-10-22,7,2,3,64,0.0,20,11.0,98.0
15565,London,E09000002,Barking and Dagenham,942495,51.529927124,0.082383735,C,CU,N,2012,2012-10-22,8,1,2,99,0.0,25,12.0,138.0
