,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
8508,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,7,6,3,246,12.0,36,22.0,319.0
8509,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,8,6,4,279,13.0,33,0.0,329.0
8510,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,9,2,3,257,12.0,28,2.0,302.0
8511,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,10,2,8,183,7.0,27,1.0,226.0
8512,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,11,0,3,268,17.0,28,4.0,320.0
8513,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,12,1,5,218,9.0,20,2.0,254.0
8514,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,13,4,0,232,16.0,52,0.0,300.0
8515,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,14,2,1,175,11.0,41,4.0,232.0
8516,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,15,0,1,290,8.0,50,0.0,349.0
8517,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,16,2,3,341,12.0,57,3.0,416.0
8518,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,17,8,1,246,12.0,30,3.0,292.0
8519,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,N,2011,2011-07-01,18,5,4,208,11.0,19,1.0,243.0
8520,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,7,2,6,230,9.0,36,5.0,286.0
8521,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,8,1,4,288,11.0,20,0.0,323.0
8522,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,9,1,2,269,14.0,26,3.0,314.0
8523,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,10,3,9,191,11.0,19,2.0,232.0
8524,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,11,3,2,166,8.0,30,0.0,206.0
8525,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,12,5,6,187,7.0,21,1.0,222.0
8526,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,13,4,4,180,5.0,36,0.0,225.0
8527,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,14,1,0,156,6.0,27,2.0,191.0
8528,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,15,7,12,279,12.0,36,4.0,343.0
8529,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,16,7,3,306,10.0,26,2.0,347.0
8530,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,17,10,13,426,14.0,33,7.0,493.0
8531,London,E09000003,Barnet,942502,51.611189393,-0.213624495,B552,BU,S,2011,2011-07-01,18,6,4,263,7.0,15,1.0,290.0
8532,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,7,3,2,140,2.0,16,7.0,167.0
8533,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,8,5,4,282,4.0,20,9.0,319.0
8534,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,9,4,2,174,6.0,24,9.0,215.0
8535,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,10,0,2,118,7.0,26,3.0,156.0
8536,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,11,0,0,105,5.0,27,4.0,141.0
8537,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,12,0,3,123,4.0,15,6.0,151.0
8538,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,13,0,0,129,9.0,20,4.0,162.0
8539,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,14,0,14,116,8.0,28,11.0,177.0
8540,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,15,2,4,318,10.0,18,5.0,355.0
8541,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,16,7,5,285,11.0,33,4.0,338.0
8542,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,17,4,3,251,12.0,24,2.0,292.0
8543,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,E,2011,2011-09-09,18,7,5,212,8.0,9,2.0,236.0
8544,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,7,2,3,180,4.0,9,7.0,203.0
8545,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,8,9,5,344,7.0,14,18.0,388.0
8546,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,9,5,7,147,5.0,23,8.0,190.0
8547,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,10,0,4,121,8.0,24,2.0,159.0
8548,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,11,0,0,198,4.0,18,4.0,224.0
8549,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,12,0,4,128,4.0,22,6.0,164.0
8550,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,13,1,2,157,9.0,33,4.0,205.0
8551,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,14,0,6,224,8.0,22,8.0,268.0
8552,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,15,1,5,347,7.0,27,15.0,401.0
8553,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,16,5,6,229,9.0,21,5.0,270.0
8554,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,17,2,3,195,9.0,18,3.0,228.0
8555,London,E09000003,Barnet,942503,51.617401079,-0.222379761,B552,BU,W,2011,2011-09-09,18,3,1,201,7.0,15,4.0,228.0
8556,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,7,0,3,206,10.0,32,4.0,255.0
8557,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,8,5,0,301,9.0,42,6.0,358.0
8558,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,9,0,2,250,10.0,22,12.0,296.0
8559,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,10,1,1,241,10.0,23,10.0,285.0
8560,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,11,0,3,283,8.0,44,13.0,351.0
8561,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,12,0,2,367,8.0,41,16.0,434.0
8562,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,13,2,3,373,9.0,26,15.0,426.0
8563,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,14,0,2,389,9.0,30,18.0,448.0
8564,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,15,1,2,486,11.0,42,11.0,552.0
8565,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,16,3,4,508,9.0,37,8.0,566.0
8566,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,17,1,5,518,9.0,41,6.0,579.0
8567,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,N,2011,2011-10-17,18,0,2,476,7.0,28,7.0,520.0
8568,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,7,5,9,502,14.0,82,5.0,612.0
8569,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,8,3,6,514,12.0,51,9.0,592.0
8570,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,9,1,4,484,16.0,17,3.0,524.0
8571,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,10,2,5,422,13.0,19,1.0,460.0
8572,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,11,1,4,450,10.0,23,2.0,489.0
8573,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,12,0,3,406,7.0,15,3.0,434.0
8574,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,13,2,4,458,14.0,18,3.0,497.0
8575,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,14,2,3,426,10.0,15,4.0,458.0
8576,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,15,5,2,427,14.0,13,2.0,458.0
8577,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,16,2,3,398,11.0,8,1.0,421.0
8578,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,17,1,4,482,10.0,9,0.0,505.0
8579,London,E09000003,Barnet,942505,51.590251293,-0.22164967,B552,BU,S,2011,2011-10-17,18,0,2,456,7.0,7,1.0,473.0
8580,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,7,0,0,13,0.0,0,0.0,13.0
8581,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,8,0,0,10,0.0,6,0.0,16.0
8582,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,9,0,1,18,0.0,1,0.0,20.0
8583,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,10,0,0,22,0.0,3,1.0,26.0
8584,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,11,0,2,20,0.0,10,0.0,32.0
8585,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,12,0,0,29,0.0,3,0.0,32.0
8586,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,13,0,0,17,0.0,0,1.0,18.0
8587,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,14,0,0,36,1.0,7,0.0,44.0
8588,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,15,1,3,33,1.0,3,0.0,40.0
8589,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,16,0,1,42,0.0,4,2.0,49.0
8590,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,17,0,1,48,0.0,4,0.0,53.0
8591,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,N,2011,2011-05-20,18,3,2,62,0.0,6,0.0,70.0
8592,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,7,0,2,46,0.0,3,0.0,51.0
8593,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,8,0,2,69,0.0,2,0.0,73.0
8594,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,9,0,0,61,0.0,3,0.0,64.0
8595,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,10,1,1,53,0.0,1,1.0,56.0
8596,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,11,1,0,56,0.0,2,0.0,58.0
8597,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,12,0,0,34,0.0,6,2.0,42.0
8598,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,13,0,0,38,0.0,2,0.0,40.0
8599,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,14,2,3,43,0.0,5,0.0,51.0
8600,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,15,2,1,69,0.0,3,2.0,75.0
8601,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,16,0,2,54,0.0,7,2.0,65.0
8602,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,17,0,0,60,0.0,1,0.0,61.0
8603,London,E09000003,Barnet,942508,51.606487115,-0.1896052,U,UU,S,2011,2011-05-20,18,0,0,46,0.0,4,0.0,50.0
8604,London,E09000003,Barnet,942511,51.612872712,-0.172264461,U,UU,N,2011,2011-09-12,7,0,2,160,0.0,5,0.0,167.0
8605,London,E09000003,Barnet,942511,51.612872712,-0.172264461,U,UU,N,2011,2011-09-12,8,0,0,226,0.0,16,2.0,244.0
