borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Barnet,2,3,258,14,28,6,B552,BU,N,2015,2015-06-26,51.611189393000004,-0.213624495
Barnet,2,1,232,6,27,5,B552,BU,E,2015,2015-09-11,51.617401078999997,-0.22237976100000001
Barnet,2,5,444,7,48,12,B552,BU,N,2015,2015-10-19,51.590251293000001,-0.22164966999999999
Barnet,0,0,59,0,5,1,U,UU,N,2015,2015-05-15,51.606487115,-0.1896052
Barnet,1,0,76,0,9,0,U,UU,N,2015,2015-09-14,51.612872711999998,-0.17226446100000001
Barnet,0,0,10,0,2,0,U,UU,N,2015,2015-06-17,51.637572676000005,-0.16119894300000001
Barnet,0,0,25,0,3,0,U,UU,N,2015,2015-06-29,51.586648556000007,-0.17904784800000001
Barnet,0,0,13,0,1,0,U,UU,E,2015,2015-06-15,51.620126293999995,-0.28037384799999998
Barnet,0,0,3,0,0,0,U,UU,N,2015,2015-10-19,51.621462618000002,-0.24971205699999999
Barnet,0,0,42,0,2,0,U,UU,E,2015,2015-05-06,51.642776331999997,-0.15871929900000001
Barnet,1,0,60,0,8,1,U,UU,N,2015,2015-06-11,51.622400355000003,-0.1841612
