,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
8772,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,7,3,0,134,12.0,24,0.0,170.0
8773,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,8,0,0,123,16.0,36,1.0,176.0
8774,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,9,2,1,132,15.0,28,1.0,177.0
8775,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,10,0,0,132,12.0,26,0.0,170.0
8776,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,11,0,2,141,15.0,21,4.0,183.0
8777,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,12,5,0,141,16.0,38,7.0,202.0
8778,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,13,1,0,126,18.0,18,2.0,164.0
8779,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,14,2,0,118,17.0,24,3.0,162.0
8780,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,15,0,1,111,18.0,19,2.0,151.0
8781,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,16,0,2,133,14.0,31,4.0,184.0
8782,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,17,1,0,141,16.0,28,3.0,188.0
8783,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,E,2011,2011-05-27,18,0,4,170,18.0,36,0.0,228.0
8784,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,7,0,1,220,18.0,30,1.0,270.0
8785,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,8,0,0,225,18.0,42,2.0,287.0
8786,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,9,0,2,138,9.0,30,1.0,180.0
8787,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,10,0,0,156,10.0,18,2.0,186.0
8788,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,11,0,0,146,11.0,22,3.0,182.0
8789,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,12,3,1,129,9.0,20,5.0,164.0
8790,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,13,0,0,132,13.0,9,1.0,155.0
8791,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,14,1,0,114,16.0,12,1.0,143.0
8792,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,15,2,1,141,18.0,18,3.0,181.0
8793,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,16,0,0,126,13.0,21,4.0,164.0
8794,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,17,2,1,131,16.0,27,3.0,178.0
8795,London,E09000004,Bexley,942526,51.491206645,0.143628675,B213,BU,W,2011,2011-05-27,18,1,2,120,14.0,26,5.0,167.0
8796,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,7,0,0,131,7.0,21,3.0,162.0
8797,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,8,0,3,175,11.0,30,7.0,226.0
8798,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,9,0,5,193,9.0,38,11.0,256.0
8799,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,10,0,9,209,10.0,42,9.0,279.0
8800,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,11,0,5,200,9.0,38,3.0,255.0
8801,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,12,0,4,217,7.0,31,3.0,262.0
8802,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,13,0,3,163,12.0,9,3.0,190.0
8803,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,14,0,2,152,11.0,21,0.0,186.0
8804,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,15,0,4,155,7.0,21,4.0,191.0
8805,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,16,0,8,167,11.0,21,3.0,210.0
8806,London,E09000004,Bexley,942527,51.4900553,0.127844119,B213,BU,E,2011,2011-03-21,17,0,5,179,13.0,27,5.0,229.0
