borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Brent,0,2,456,17,168,99,B4557,BU,N,2011,2011-10-14,51.554028185,-0.26172107699999997
Brent,17,10,136,2,36,5,B451,BU,E,2011,2011-05-24,51.533886905000003,-0.209212497
Brent,3,5,391,11,50,10,C,CU,N,2011,2011-09-27,51.568407364999999,-0.29485054100000002
Brent,0,1,223,0,23,3,C,CU,E,2011,2011-07-06,51.595262751999996,-0.27179857099999999
Brent,1,0,8,0,0,0,U,UU,E,2011,2011-06-21,51.585656736000004,-0.29872291300000003
Brent,1,0,15,1,3,1,U,UU,N,2011,2011-06-23,51.584766458999994,-0.25341763100000003
Brent,0,0,20,0,1,0,U,UU,N,2011,2011-09-15,51.550838067000001,-0.26977571100000003
Brent,0,0,3,0,0,0,U,UU,N,2011,2011-10-19,51.532574491000005,-0.23595171199999998
Brent,2,0,23,0,1,0,U,UU,E,2011,2011-10-04,51.572060271000005,-0.30679206800000003
Brent,3,1,46,0,9,0,U,UU,E,2011,2011-09-29,51.543918283000004,-0.287228606
Brent,0,0,69,0,7,1,U,UU,W,2011,2011-09-19,51.556578703999996,-0.31512793
Brent,2,2,31,1,11,1,C,CU,E,2011,2011-06-08,51.550854848,-0.23468214800000001
