,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
34896,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,7,5,8,300,4.0,60,4.0,376.0
34897,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,8,2,3,419,8.0,69,1.0,500.0
34898,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,9,3,3,366,4.0,77,9.0,459.0
34899,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,10,4,2,224,5.0,49,4.0,284.0
34900,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,11,1,1,240,4.0,46,8.0,299.0
34901,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,12,3,7,257,4.0,28,1.0,297.0
34902,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,13,2,6,255,3.0,53,1.0,318.0
34903,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,14,2,3,289,4.0,50,5.0,351.0
34904,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,15,3,2,234,6.0,49,1.0,292.0
34905,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,16,5,5,293,13.0,57,0.0,368.0
34906,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,17,7,3,334,2.0,56,1.0,396.0
34907,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,N,2015,2015-10-01,18,8,3,302,5.0,35,2.0,347.0
34908,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,7,3,0,292,7.0,80,3.0,382.0
34909,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,8,1,0,471,3.0,71,0.0,545.0
34910,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,9,2,3,339,4.0,57,1.0,404.0
34911,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,10,5,6,235,5.0,50,0.0,296.0
34912,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,11,1,2,227,5.0,49,4.0,287.0
34913,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,12,3,2,245,3.0,41,2.0,293.0
34914,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,13,1,1,216,4.0,42,2.0,265.0
34915,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,14,3,2,284,3.0,74,2.0,365.0
34916,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,15,2,4,338,4.0,72,2.0,420.0
34917,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,16,6,4,393,6.0,66,1.0,470.0
34918,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,17,3,5,342,2.0,52,0.0,401.0
34919,London,E09000006,Bromley,942260,51.392389075,0.114598084,B258,BU,S,2015,2015-10-01,18,3,4,329,4.0,46,0.0,383.0
34920,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,7,1,2,86,1.0,8,2.0,99.0
34921,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,8,1,0,107,2.0,14,1.0,124.0
34922,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,9,2,2,86,1.0,19,4.0,112.0
34923,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,10,0,0,93,2.0,27,2.0,124.0
34924,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,11,6,0,99,2.0,18,1.0,120.0
34925,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,12,1,2,86,2.0,16,4.0,110.0
34926,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,13,3,0,95,2.0,18,0.0,115.0
34927,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,14,0,0,108,2.0,17,2.0,129.0
34928,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,15,1,0,155,2.0,24,2.0,183.0
34929,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,16,0,4,177,1.0,41,1.0,224.0
34930,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,17,5,4,284,2.0,41,0.0,331.0
34931,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,E,2015,2015-06-15,18,6,2,182,2.0,26,0.0,212.0
34932,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,W,2015,2015-06-15,7,2,2,192,3.0,56,0.0,253.0
34933,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,W,2015,2015-06-15,8,2,0,201,1.0,41,3.0,246.0
34934,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,W,2015,2015-06-15,9,0,0,125,2.0,32,2.0,161.0
34935,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,W,2015,2015-06-15,10,0,2,75,3.0,27,1.0,108.0
34936,London,E09000006,Bromley,942261,51.383749798,0.147556779,B258,BR,W,2015,2015-06-15,11,4,2,82,2.0,8,2.0,96.0
