borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Bromley,2,2,294,2,56,2,B258,BU,N,2016,2016-09-29,51.392389074999997,0.114598084
Bromley,0,1,114,1,26,2,B258,BR,E,2016,2016-06-13,51.383749798000004,0.147556779
Bromley,1,3,298,5,48,8,B230,BU,N,2016,2016-10-20,51.392817428000001,-0.023247877000000004
Bromley,2,4,336,10,55,3,B251,BU,E,2016,2016-10-31,51.377509275000001,0.016988409999999999
Bromley,3,1,164,0,22,1,C,CU,N,2016,2016-09-28,51.389669526000006,-0.0046550369999999999
Bromley,1,0,151,1,24,1,C,CU,E,2016,2016-07-07,51.315531338,0.041821272
Bromley,1,0,65,0,9,0,C,CU,E,2016,2016-06-21,51.395930223999997,-0.045841049000000002
Bromley,0,0,31,0,6,0,C,CU,N,2016,2016-10-19,51.360415126999996,0.02420951
Bromley,0,0,21,0,3,0,U,UU,E,2016,2016-10-13,51.403878223,-0.064164589000000008
Bromley,0,0,37,2,8,0,U,UU,E,2016,2016-04-18,51.412615486000007,-0.056878511999999999
Bromley,0,0,35,0,4,0,U,UU,N,2016,2016-07-04,51.398093623000001,-0.034319944999999998
Bromley,0,0,44,0,10,0,U,UU,E,2016,2016-10-10,51.402220801000006,-0.062365537999999998
Bromley,0,0,21,0,3,0,U,UU,E,2016,2016-10-05,51.399419613999996,0.091157711000000002
Bromley,1,4,241,0,63,1,C,CU,N,2016,2016-09-23,51.443237598000003,0.030028426
Bromley,0,0,17,0,4,0,C,CU,E,2016,2016-06-28,51.406480457000001,-0.051344030999999998
Bromley,3,3,213,0,37,2,C,CU,N,2016,2016-04-26,51.415049639999999,-0.036742161000000002
Bromley,1,0,58,0,11,0,U,UR,E,2016,2016-10-20,51.371483214999998,0.024855701000000001
Bromley,0,0,15,0,2,0,U,UU,N,2016,2016-04-28,51.403069593999994,0.026739448999999998
Bromley,0,0,27,0,4,0,U,UU,E,2016,2016-10-21,51.393957356999998,-0.028991744999999999
