,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
516,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,7,7,3,141,12.0,47,7.0,210.0
517,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,8,3,8,77,11.0,33,17.0,146.0
518,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,9,3,6,137,16.0,37,6.0,202.0
519,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,10,4,2,153,17.0,58,16.0,246.0
520,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,11,4,7,167,15.0,66,20.0,275.0
521,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,12,6,3,174,17.0,88,22.0,304.0
522,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,13,5,14,197,14.0,72,18.0,315.0
523,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,14,5,11,204,17.0,73,14.0,319.0
524,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,15,10,13,194,12.0,86,24.0,329.0
525,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,16,15,21,243,12.0,91,21.0,388.0
526,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,17,15,25,327,15.0,72,5.0,444.0
527,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,N,2010,2010-05-27,18,21,26,305,11.0,48,4.0,394.0
528,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,7,21,27,267,14.0,105,32.0,445.0
529,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,8,20,18,194,11.0,79,27.0,329.0
530,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,9,15,14,215,9.0,53,19.0,310.0
531,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,10,5,9,199,12.0,50,9.0,279.0
532,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,11,3,8,171,10.0,72,15.0,276.0
533,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,12,11,7,139,13.0,56,15.0,230.0
534,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,13,4,5,166,12.0,47,14.0,244.0
535,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,14,5,11,160,12.0,49,14.0,246.0
536,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,15,7,15,187,9.0,45,6.0,262.0
537,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,16,4,8,165,8.0,29,6.0,216.0
538,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,17,8,9,240,14.0,14,6.0,283.0
539,London,E09000007,Camden,942304,51.552948452,-0.19380874,B510,BU,S,2010,2010-05-27,18,6,17,263,11.0,24,6.0,321.0
540,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,7,14,0,20,1.0,29,6.0,56.0
541,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,8,34,3,34,0.0,27,6.0,70.0
542,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,9,33,18,48,1.0,19,8.0,94.0
543,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,10,9,21,56,0.0,35,9.0,121.0
544,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,11,21,14,65,0.0,37,2.0,118.0
545,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,12,22,11,51,0.0,31,6.0,99.0
546,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,13,14,13,49,0.0,33,3.0,98.0
547,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,14,12,11,65,0.0,33,3.0,112.0
548,London,E09000007,Camden,942305,51.521131922,-0.10871053,B521,BU,N,2010,2010-10-01,15,21,17,63,0.0,27,4.0,111.0
