borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Croydon,6,3,244,16,45,6,B273,BU,E,2012,2012-05-11,51.414442868000002,-0.11536054499999999
Croydon,0,3,233,14,34,9,B266,BU,E,2012,2012-09-28,51.394182138999994,-0.11199593099999999
Croydon,6,11,283,8,44,9,B273,BU,N,2012,2012-09-12,51.407909563999993,-0.10559269800000001
Croydon,6,4,153,0,34,4,C,CU,N,2012,2012-10-10,51.380306875000002,-0.094805285000000003
Croydon,0,0,56,1,4,0,C,CU,E,2012,2012-09-19,51.323601876000005,-0.098892761999999995
Croydon,0,0,48,0,1,0,U,UU,E,2012,2012-09-18,51.330115381000006,-0.099613834999999998
Croydon,0,0,11,0,2,0,U,UU,N,2012,2012-10-19,51.373675441000003,-0.082996921000000001
Croydon,0,0,51,0,7,0,U,UU,E,2012,2012-03-23,51.413759229999997,-0.083190087999999995
Croydon,0,0,6,0,1,0,U,UU,N,2012,2012-10-11,51.399326145000003,-0.083204122000000005
Croydon,0,0,21,0,2,0,U,UU,E,2012,2012-10-10,51.381276645,-0.045042577
Croydon,0,0,13,0,1,0,U,UU,E,2012,2012-03-16,51.393669283999998,-0.087580433999999999
Croydon,0,0,10,0,1,0,U,UU,N,2012,2012-03-16,51.407379803000005,-0.12465205900000001
Croydon,2,2,242,13,36,9,B243,BU,E,2012,2012-09-27,51.382518611000002,-0.081549599
Croydon,0,0,107,0,10,0,U,UU,S,2012,2012-05-01,51.388304778999995,-0.069191293000000001
