,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
44328,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,7,1,2,269,27.0,65,11.0,374.0
44329,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,8,4,2,352,17.0,73,10.0,454.0
44330,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,9,3,1,266,16.0,62,14.0,359.0
44331,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,10,3,1,274,12.0,51,11.0,349.0
44332,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,11,2,9,289,13.0,64,11.0,386.0
44333,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,12,2,4,260,11.0,50,12.0,337.0
44334,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,13,2,14,361,15.0,51,9.0,450.0
44335,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,14,3,8,390,13.0,60,13.0,484.0
44336,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,15,3,3,367,12.0,57,6.0,445.0
44337,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,16,7,8,329,18.0,35,2.0,392.0
44338,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,17,9,12,418,13.0,49,2.0,494.0
44339,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,E,2016,2016-09-30,18,10,8,331,15.0,39,1.0,394.0
44340,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,7,10,12,222,14.0,51,13.0,312.0
44341,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,8,5,6,275,16.0,48,11.0,356.0
44342,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,9,3,3,243,18.0,46,10.0,320.0
44343,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,10,1,7,259,15.0,55,16.0,352.0
44344,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,11,1,8,262,17.0,63,11.0,361.0
44345,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,12,0,5,299,13.0,47,16.0,380.0
44346,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,13,1,4,288,12.0,55,11.0,370.0
44347,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,14,4,9,260,13.0,54,8.0,344.0
44348,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,15,2,3,251,11.0,36,5.0,306.0
44349,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,16,1,9,311,13.0,57,10.0,400.0
44350,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,17,5,8,296,14.0,39,7.0,364.0
44351,London,E09000008,Croydon,942546,51.394182139,-0.111995931,B266,BU,W,2016,2016-09-30,18,5,12,328,13.0,45,7.0,405.0
44352,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,7,22,20,409,10.0,99,6.0,544.0
44353,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,8,11,15,427,9.0,72,6.0,529.0
44354,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,9,3,8,295,8.0,66,1.0,378.0
44355,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,10,11,5,256,8.0,46,10.0,325.0
44356,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,11,0,5,241,8.0,48,6.0,308.0
44357,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,12,2,2,229,8.0,43,4.0,286.0
44358,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,13,3,9,254,9.0,43,8.0,323.0
44359,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,14,6,5,333,7.0,44,6.0,395.0
44360,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,15,2,8,361,8.0,52,6.0,435.0
44361,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,16,13,7,337,10.0,37,3.0,394.0
44362,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,17,9,10,329,6.0,44,3.0,392.0
44363,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,N,2016,2016-09-07,18,4,3,398,10.0,33,1.0,445.0
44364,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,7,7,7,199,9.0,37,1.0,253.0
44365,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,8,2,2,312,13.0,34,3.0,364.0
44366,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,9,2,6,279,7.0,37,7.0,336.0
44367,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,10,3,0,218,9.0,37,4.0,268.0
44368,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,11,2,3,225,7.0,45,9.0,289.0
44369,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,12,0,4,346,8.0,49,3.0,410.0
44370,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,13,2,10,259,8.0,60,6.0,343.0
44371,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,14,7,8,262,8.0,45,9.0,332.0
44372,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,15,3,11,268,7.0,53,3.0,342.0
44373,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,16,4,13,323,10.0,73,3.0,422.0
44374,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,17,13,14,411,9.0,84,4.0,522.0
44375,London,E09000008,Croydon,942551,51.407909564,-0.105592698,B273,BU,S,2016,2016-09-07,18,11,12,341,6.0,49,0.0,408.0
44376,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,7,11,1,111,0.0,22,1.0,135.0
44377,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,8,8,1,157,1.0,31,1.0,191.0
44378,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,9,0,0,154,0.0,20,11.0,185.0
44379,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,10,0,2,69,0.0,28,4.0,103.0
44380,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,11,3,4,51,0.0,20,4.0,79.0
44381,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,12,4,3,76,0.0,22,1.0,102.0
44382,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,13,1,1,70,0.0,21,2.0,94.0
44383,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,14,1,2,86,0.0,26,2.0,116.0
44384,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,15,4,3,129,0.0,25,3.0,160.0
44385,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,16,6,2,142,1.0,26,2.0,173.0
44386,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,17,26,10,205,0.0,23,1.0,239.0
44387,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,N,2016,2016-10-12,18,24,3,142,0.0,17,0.0,162.0
44388,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,7,11,5,223,0.0,52,4.0,284.0
44389,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,8,24,2,320,0.0,32,2.0,356.0
44390,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,9,10,5,264,0.0,56,1.0,326.0
44391,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,10,2,6,171,1.0,45,6.0,229.0
44392,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,11,3,2,142,0.0,59,4.0,207.0
44393,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,12,4,8,158,0.0,40,4.0,210.0
44394,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,13,4,4,169,0.0,54,3.0,230.0
44395,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,14,2,7,191,0.0,63,8.0,269.0
44396,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,15,1,2,244,1.0,75,4.0,326.0
44397,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,16,9,3,279,3.0,87,2.0,374.0
44398,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,17,11,11,279,0.0,56,2.0,348.0
44399,London,E09000008,Croydon,942555,51.380306875,-0.094805285,C,CU,S,2016,2016-10-12,18,3,7,212,0.0,31,1.0,251.0
44400,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,7,2,1,95,2.0,23,1.0,122.0
44401,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,8,2,0,160,0.0,40,2.0,202.0
44402,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,9,2,6,126,0.0,32,4.0,168.0
44403,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,10,0,1,92,1.0,26,3.0,123.0
44404,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,11,1,1,127,0.0,21,4.0,153.0
44405,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,12,0,1,130,0.0,21,2.0,154.0
44406,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,13,0,2,144,0.0,21,2.0,169.0
44407,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,14,3,4,171,0.0,24,2.0,201.0
44408,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,15,2,3,198,0.0,35,1.0,237.0
44409,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,16,1,1,203,0.0,39,3.0,246.0
44410,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,17,0,1,201,0.0,30,1.0,233.0
44411,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,E,2016,2016-06-17,18,6,5,211,0.0,30,1.0,247.0
44412,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,7,4,3,168,1.0,27,5.0,204.0
44413,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,8,4,0,172,1.0,27,1.0,201.0
44414,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,9,3,0,161,1.0,28,0.0,190.0
44415,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,10,0,1,114,1.0,21,4.0,141.0
44416,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,11,5,0,137,0.0,24,3.0,164.0
44417,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,12,1,1,148,0.0,34,3.0,186.0
44418,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,13,2,5,133,0.0,29,3.0,170.0
44419,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,14,2,2,167,0.0,34,0.0,203.0
44420,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,15,0,2,185,0.0,37,2.0,226.0
44421,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,16,1,7,188,0.0,39,1.0,235.0
44422,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,17,4,6,162,0.0,42,5.0,215.0
44423,London,E09000008,Croydon,942556,51.389791837,-0.102417223,C,CU,W,2016,2016-06-17,18,1,2,186,0.0,35,2.0,225.0
44424,London,E09000008,Croydon,942559,51.40190153,-0.085066108,C,CU,E,2016,2016-06-21,7,0,0,81,0.0,15,0.0,96.0
44425,London,E09000008,Croydon,942559,51.40190153,-0.085066108,C,CU,E,2016,2016-06-21,8,0,0,140,0.0,14,2.0,156.0
44426,London,E09000008,Croydon,942559,51.40190153,-0.085066108,C,CU,E,2016,2016-06-21,9,0,1,85,0.0,8,0.0,94.0
44427,London,E09000008,Croydon,942559,51.40190153,-0.085066108,C,CU,E,2016,2016-06-21,10,0,1,56,0.0,9,1.0,67.0
