,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
9360,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,7,63,19,811,98.0,111,34.0,1073.0
9361,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,8,39,25,637,79.0,94,19.0,854.0
9362,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,9,35,16,576,71.0,89,20.0,772.0
9363,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,10,0,17,562,92.0,110,23.0,804.0
9364,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,11,4,8,525,82.0,102,12.0,729.0
9365,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,12,2,7,531,85.0,101,15.0,739.0
9366,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,13,2,4,527,68.0,68,18.0,685.0
9367,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,14,4,11,456,52.0,103,55.0,677.0
9368,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,15,3,8,586,58.0,78,37.0,767.0
9369,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,16,7,11,488,51.0,78,47.0,675.0
9370,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,17,5,7,569,30.0,176,64.0,846.0
9371,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,E,2011,2011-05-18,18,4,5,623,24.0,98,47.0,797.0
9372,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,7,4,3,165,3.0,15,3.0,189.0
9373,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,8,3,4,139,1.0,27,5.0,176.0
9374,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,9,3,1,125,0.0,31,8.0,165.0
9375,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,10,7,2,110,0.0,14,0.0,126.0
9376,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,11,8,5,81,0.0,21,0.0,107.0
9377,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,12,6,8,66,0.0,9,0.0,83.0
9378,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,13,11,9,55,1.0,11,0.0,76.0
9379,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,14,3,4,89,2.0,23,4.0,122.0
9380,London,E09000009,Ealing,942594,51.51616525,-0.303749056,B455,BU,W,2011,2011-05-18,15,9,5,106,0.0,16,0.0,127.0
