borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Ealing,23,8,453,38,64,10,B455,BU,E,2012,2012-05-16,51.51616525,-0.30374905600000002
Ealing,2,10,434,2,62,7,B454,BU,E,2012,2012-06-29,51.497702226000001,-0.34389481
Ealing,8,6,256,17,44,11,B4491,BU,E,2012,2012-10-15,51.497927653000005,-0.30802792000000001
Ealing,7,8,314,24,50,12,B452,BU,N,2012,2012-03-16,51.504976939999999,-0.31923649300000001
Ealing,7,5,547,13,63,18,B455,BU,N,2012,2012-05-01,51.511888338999995,-0.30585344399999997
Ealing,1,0,9,0,3,0,U,UU,N,2012,2012-10-09,51.500000506000006,-0.26647168700000001
Ealing,1,0,20,0,2,0,U,UU,E,2012,2012-10-11,51.499862399999998,-0.31812797399999998
Ealing,0,0,8,0,1,0,U,UU,N,2012,2012-05-15,51.512730081999997,-0.25894120900000001
Ealing,1,0,15,0,3,0,U,UU,E,2012,2012-09-28,51.497445906999999,-0.258529597
Ealing,2,1,89,0,12,1,U,UU,S,2012,2012-07-12,51.506973426999998,-0.33374567799999999
Ealing,2,0,38,0,6,1,U,UU,E,2012,2012-03-30,51.499106086000005,-0.30494434500000001
Ealing,1,2,155,8,37,8,U,UU,E,2012,2012-10-18,51.543018078999999,-0.36532393399999996
Ealing,0,0,13,0,2,0,U,UU,N,2012,2012-10-16,51.521557061000003,-0.33234860199999999
Ealing,0,0,16,0,3,0,U,UU,E,2012,2012-07-03,51.540641253999993,-0.354824588
Ealing,1,0,15,0,3,1,U,UU,E,2012,2012-05-25,51.521719804999996,-0.26665608399999996
