,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
768,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,7,2,0,285,7.0,23,8.0,323.0
769,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,8,3,1,453,8.0,21,7.0,490.0
770,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,9,0,0,380,5.0,34,12.0,431.0
771,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,10,3,0,294,9.0,22,9.0,334.0
772,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,11,4,2,205,7.0,29,12.0,255.0
773,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,12,0,1,201,8.0,32,9.0,251.0
774,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,13,2,1,198,7.0,36,10.0,252.0
775,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,14,4,0,231,7.0,27,12.0,277.0
776,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,15,3,2,310,9.0,28,9.0,358.0
777,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,16,2,1,387,8.0,33,9.0,438.0
778,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,17,1,3,436,8.0,39,15.0,501.0
779,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,E,2010,2010-09-16,18,0,0,350,6.0,31,6.0,393.0
780,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,7,4,0,297,16.0,95,17.0,425.0
781,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,8,2,0,502,14.0,86,14.0,616.0
782,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,9,7,1,292,18.0,57,14.0,382.0
783,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,10,2,2,213,13.0,49,8.0,285.0
784,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,11,4,1,225,11.0,58,11.0,306.0
785,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,12,0,1,213,15.0,54,7.0,290.0
786,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,13,0,2,207,12.0,44,9.0,274.0
787,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,14,2,1,233,14.0,46,11.0,305.0
788,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,15,3,1,281,17.0,67,10.0,376.0
789,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,16,5,3,324,15.0,89,16.0,447.0
790,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,17,1,2,499,12.0,77,13.0,603.0
791,London,E09000010,Enfield,942340,51.626753468,-0.068157552,B154,BU,W,2010,2010-09-16,18,0,1,178,10.0,79,9.0,277.0
792,London,E09000010,Enfield,942342,51.665409189,-0.178855941,C,CU,E,2010,2010-06-28,7,1,0,207,4.0,26,0.0,237.0
793,London,E09000010,Enfield,942342,51.665409189,-0.178855941,C,CU,E,2010,2010-06-28,8,0,1,200,6.0,20,4.0,231.0
794,London,E09000010,Enfield,942342,51.665409189,-0.178855941,C,CU,E,2010,2010-06-28,9,0,4,218,4.0,28,6.0,260.0
795,London,E09000010,Enfield,942342,51.665409189,-0.178855941,C,CU,E,2010,2010-06-28,10,0,3,204,5.0,27,4.0,243.0
