,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
7236,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,7,7,4,317,33.0,37,16.0,407.0
7237,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,8,5,4,402,25.0,27,14.0,472.0
7238,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,9,11,9,372,30.0,37,15.0,463.0
7239,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,10,5,9,291,30.0,50,16.0,396.0
7240,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,11,3,7,311,31.0,52,21.0,422.0
7241,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,12,5,4,328,30.0,56,17.0,435.0
7242,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,13,0,3,371,33.0,77,7.0,491.0
7243,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,14,6,11,400,42.0,60,9.0,522.0
7244,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,15,5,9,411,29.0,65,12.0,526.0
7245,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,16,9,12,417,23.0,59,14.0,525.0
7246,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,17,6,15,415,25.0,57,6.0,518.0
7247,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,E,2011,2011-06-10,18,7,19,436,29.0,54,8.0,546.0
7248,London,E09000011,Greenwich,942358,51.481998078,0.042363973,B210,BU,W,2011,2011-06-10,7,4,5,634,31.0,80,7.0,757.0
