borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Greenwich,1,2,130,4,21,4,B213,BU,E,2012,2012-10-15,51.487599706000005,0.11345496699999999
Greenwich,1,0,85,0,11,0,C,CU,N,2012,2012-07-05,51.475624855,0.060713560999999999
Greenwich,0,1,82,5,14,3,C,CU,N,2012,2012-06-21,51.487997321000002,0.055682482999999998
Greenwich,1,7,235,12,45,42,C,CU,E,2012,2012-05-24,51.496827441000001,0.0053520919999999993
Greenwich,0,1,185,5,26,2,C,CU,N,2012,2012-05-09,51.473638508999997,0.11269437199999999
Greenwich,1,1,132,1,21,0,C,CU,N,2012,2012-09-14,51.442586110000001,0.029740512
Greenwich,0,0,12,0,1,0,U,UU,N,2012,2012-05-08,51.472863008999994,0.042272715000000002
Greenwich,0,0,29,0,9,5,U,UU,S,2012,2012-10-16,51.491040011999999,0.023969079000000001
Greenwich,0,0,11,0,1,0,U,UU,E,2012,2012-06-11,51.474942443000003,0.08860511800000001
Greenwich,1,0,11,0,1,0,U,UU,E,2012,2012-06-19,51.476488502999999,0.042708274999999997
