,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
23340,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,7,2,0,17,0.0,4,1.0,22.0
23341,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,8,5,1,31,0.0,14,1.0,47.0
23342,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,9,6,0,18,0.0,12,2.0,32.0
23343,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,10,3,0,16,0.0,6,0.0,22.0
23344,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,11,1,1,27,0.0,8,4.0,40.0
23345,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,12,0,0,28,0.0,6,3.0,37.0
23346,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,13,2,1,22,0.0,8,2.0,33.0
23347,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,14,1,0,28,0.0,3,4.0,35.0
23348,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,15,9,0,24,0.0,8,6.0,38.0
23349,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,16,3,0,33,0.0,7,2.0,42.0
23350,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,17,16,1,37,0.0,9,2.0,49.0
23351,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,N,2013,2013-04-17,18,20,2,29,0.0,3,0.0,34.0
23352,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,S,2013,2013-04-17,7,4,0,0,0.0,0,0.0,0.0
23353,London,E09000012,Hackney,942627,51.544299434,-0.035553603,B114,BU,S,2013,2013-04-17,8,7,0,0,0.0,0,0.0,0.0
