,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
7512,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,7,16,9,130,40.0,39,12.0,230.0
7513,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,8,30,5,235,41.0,68,15.0,364.0
7514,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,9,10,3,134,24.0,51,20.0,232.0
7515,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,10,12,5,139,27.0,40,14.0,225.0
7516,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,11,17,9,164,32.0,51,16.0,272.0
7517,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,12,10,14,162,30.0,42,24.0,272.0
7518,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,13,8,10,170,28.0,40,16.0,264.0
7519,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,14,6,6,202,35.0,53,10.0,306.0
7520,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,15,8,5,202,33.0,36,5.0,281.0
7521,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,16,31,23,209,26.0,40,13.0,311.0
7522,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,17,36,23,240,33.0,22,8.0,326.0
7523,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,E,2011,2011-10-06,18,18,18,210,34.0,30,14.0,306.0
7524,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,7,29,17,342,38.0,63,17.0,477.0
7525,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,8,60,23,350,50.0,70,16.0,509.0
7526,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,9,25,17,256,35.0,45,20.0,373.0
7527,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,10,8,16,248,37.0,64,23.0,388.0
7528,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,11,9,10,202,38.0,60,13.0,323.0
7529,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,12,6,5,172,46.0,50,23.0,296.0
7530,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,13,4,6,156,40.0,30,13.0,245.0
7531,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,14,5,16,249,36.0,66,21.0,388.0
7532,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,15,4,12,237,38.0,75,24.0,386.0
7533,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,16,10,17,259,32.0,86,21.0,415.0
7534,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,17,9,16,284,38.0,102,19.0,459.0
7535,London,E09000013,Hammersmith and Fulham,942389,51.516424811,-0.232410397,C,CU,W,2011,2011-10-06,18,6,8,240,24.0,64,12.0,348.0
7536,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,7,3,0,6,0.0,2,0.0,8.0
7537,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,8,0,2,33,1.0,4,0.0,40.0
7538,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,9,4,1,21,0.0,6,0.0,28.0
7539,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,10,1,0,11,0.0,1,0.0,12.0
7540,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,11,1,0,5,0.0,6,1.0,12.0
7541,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,12,0,0,9,0.0,3,1.0,13.0
7542,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,13,1,0,9,0.0,3,0.0,12.0
7543,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,14,1,0,5,0.0,1,1.0,7.0
7544,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,15,0,0,4,0.0,0,1.0,5.0
7545,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,16,0,0,14,0.0,1,0.0,15.0
7546,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,17,4,1,18,0.0,0,0.0,19.0
7547,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,N,2011,2011-03-23,18,4,1,9,0.0,0,0.0,10.0
7548,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,S,2011,2011-03-23,7,1,1,10,0.0,2,0.0,13.0
7549,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,S,2011,2011-03-23,8,5,3,15,0.0,4,0.0,22.0
7550,London,E09000013,Hammersmith and Fulham,942391,51.499498002,-0.235788372,U,UU,S,2011,2011-03-23,9,3,1,21,0.0,6,0.0,28.0
