,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
43032,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,7,1,1,343,14.0,58,10.0,426.0
43033,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,8,2,5,436,13.0,74,18.0,546.0
43034,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,9,1,4,478,12.0,98,13.0,605.0
43035,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,10,3,4,319,12.0,93,15.0,443.0
43036,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,11,0,3,306,13.0,83,17.0,422.0
43037,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,12,1,5,314,14.0,77,14.0,424.0
43038,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,13,1,8,382,11.0,92,11.0,504.0
43039,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,14,9,9,362,12.0,130,14.0,527.0
43040,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,15,6,5,479,14.0,126,15.0,639.0
43041,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,16,6,11,447,17.0,129,11.0,615.0
43042,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,17,5,23,521,10.0,118,6.0,678.0
43043,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,E,2016,2016-10-20,18,3,21,496,13.0,95,4.0,629.0
43044,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,7,14,16,358,16.0,115,8.0,513.0
43045,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,8,12,20,363,14.0,84,11.0,492.0
43046,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,9,1,2,264,13.0,67,7.0,353.0
43047,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,10,2,8,306,12.0,81,8.0,415.0
43048,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,11,3,4,291,13.0,79,13.0,400.0
43049,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,12,2,2,286,13.0,49,10.0,360.0
43050,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,13,1,3,277,11.0,63,11.0,365.0
43051,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,14,4,7,286,14.0,52,6.0,365.0
43052,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,15,3,5,292,10.0,61,5.0,373.0
43053,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,16,4,9,372,13.0,54,6.0,454.0
43054,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,17,1,10,344,13.0,37,3.0,407.0
43055,London,E09000014,Haringey,942401,51.597464424,-0.142200963,B106,BU,W,2016,2016-10-20,18,2,11,374,13.0,24,2.0,424.0
43056,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,7,6,2,70,12.0,17,0.0,101.0
43057,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,8,13,4,181,12.0,24,4.0,225.0
43058,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,9,1,1,99,11.0,18,3.0,132.0
43059,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,10,0,0,79,14.0,16,3.0,112.0
43060,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,11,1,2,71,11.0,20,4.0,108.0
43061,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,12,3,1,77,11.0,18,3.0,110.0
43062,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,13,0,0,80,11.0,15,2.0,108.0
43063,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,14,0,4,73,10.0,17,2.0,106.0
43064,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,15,2,4,85,10.0,10,1.0,110.0
43065,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,16,6,3,99,14.0,14,1.0,131.0
43066,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,17,4,5,154,15.0,13,1.0,188.0
43067,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,E,2016,2016-05-10,18,1,8,98,12.0,11,3.0,132.0
43068,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,7,3,1,75,0.0,7,3.0,86.0
43069,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,8,4,1,121,1.0,20,5.0,148.0
43070,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,9,1,2,125,2.0,16,3.0,148.0
43071,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,10,0,0,82,0.0,16,3.0,101.0
43072,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,11,1,0,105,0.0,19,1.0,125.0
43073,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,12,3,0,127,0.0,29,2.0,158.0
43074,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,13,0,2,144,2.0,25,4.0,177.0
43075,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,14,4,2,118,0.0,26,4.0,150.0
43076,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,15,5,2,178,0.0,27,3.0,210.0
43077,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,16,7,1,227,1.0,42,4.0,275.0
43078,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,17,5,13,203,2.0,31,2.0,251.0
43079,London,E09000014,Haringey,942403,51.58414314,-0.12164115,C,CU,W,2016,2016-05-10,18,3,9,148,0.0,10,1.0,168.0
43080,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,7,7,4,148,1.0,40,8.0,201.0
43081,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,8,7,0,254,1.0,56,7.0,318.0
43082,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,9,2,2,217,2.0,48,7.0,276.0
43083,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,10,2,3,171,0.0,70,4.0,248.0
43084,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,11,1,3,163,0.0,54,4.0,224.0
43085,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,12,1,1,190,0.0,54,8.0,253.0
43086,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,13,2,5,215,0.0,57,6.0,283.0
43087,London,E09000014,Haringey,942405,51.57787531,-0.139132,C,CU,E,2016,2016-06-27,14,1,6,195,1.0,52,6.0,260.0
