,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
3060,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,7,2,2,408,36.0,13,2.0,461.0
3061,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,8,3,4,345,26.0,39,18.0,432.0
3062,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,9,2,2,274,30.0,40,11.0,357.0
3063,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,10,2,3,200,27.0,44,15.0,289.0
3064,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,11,3,3,158,12.0,32,11.0,216.0
3065,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,12,3,2,256,17.0,54,6.0,335.0
3066,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,13,4,3,269,19.0,29,5.0,325.0
3067,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,14,2,1,275,26.0,35,12.0,349.0
3068,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,15,3,4,239,24.0,29,16.0,312.0
3069,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,16,2,2,311,22.0,47,14.0,396.0
3070,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,17,4,1,438,18.0,52,6.0,515.0
3071,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,N,2010,2010-05-27,18,6,5,474,17.0,29,6.0,531.0
3072,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,7,3,4,503,24.0,67,13.0,611.0
3073,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,8,2,3,410,20.0,40,12.0,485.0
3074,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,9,1,3,295,16.0,44,16.0,374.0
3075,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,10,2,2,187,13.0,24,11.0,237.0
3076,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,11,5,4,169,13.0,25,10.0,221.0
3077,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,12,2,3,219,13.0,27,19.0,281.0
3078,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,13,1,2,236,16.0,23,9.0,286.0
3079,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,14,1,4,177,37.0,27,6.0,251.0
3080,London,E09000015,Harrow,942642,51.608695879,-0.285817169,B461,BU,S,2010,2010-05-27,15,2,3,149,23.0,13,3.0,191.0
