borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Havering,1,1,289,4,37,5,B1421,BU,N,2011,2011-07-11,51.545374621999997,0.247667623
Havering,5,7,535,20,75,16,B174,BU,E,2011,2011-09-26,51.598276230000003,0.15877496599999999
Havering,3,2,173,13,15,2,C,CU,E,2011,2011-09-19,51.581337585,0.20834748600000003
Havering,0,1,188,8,21,6,C,CU,E,2011,2011-05-06,51.551087568999996,0.19193802399999998
Havering,0,1,344,7,28,14,C,CU,N,2011,2011-10-06,51.550628358999994,0.205402892
Havering,0,1,81,0,5,1,C,CU,E,2011,2011-05-20,51.573918065000001,0.229765634
Havering,1,1,224,8,14,6,C,CU,E,2011,2011-05-24,51.613755277999999,0.213676437
Havering,0,0,25,0,8,28,U,UR,E,2011,2011-05-25,51.499010111000004,0.19479800799999999
Havering,1,1,21,0,2,0,U,UU,E,2011,2011-10-05,51.559760248000003,0.216160352
Havering,0,0,19,0,1,0,U,UU,E,2011,2011-07-14,51.558146003999994,0.21687534999999999
Havering,1,1,13,0,1,0,U,UU,N,2011,2011-10-13,51.545117386999998,0.24184251800000001
Havering,0,0,6,2,1,0,U,UU,N,2011,2011-06-15,51.528974706999996,0.16819666600000002
Havering,0,0,15,0,0,0,U,UU,E,2011,2011-06-20,51.600933666000003,0.18235226600000001
Havering,0,0,48,0,2,0,U,UU,E,2011,2011-06-13,51.580868594999998,0.18101540499999999
