,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
15084,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,7,4,0,308,6.0,39,7.0,360.0
15085,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,8,6,3,345,5.0,55,10.0,418.0
15086,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,9,5,4,288,6.0,34,13.0,345.0
15087,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,10,3,2,330,4.0,43,7.0,386.0
15088,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,11,2,1,232,2.0,29,13.0,277.0
15089,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,12,2,4,276,4.0,38,14.0,336.0
15090,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,13,1,3,295,6.0,31,17.0,352.0
15091,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,14,3,2,261,5.0,25,15.0,308.0
15092,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,15,2,5,283,3.0,21,11.0,323.0
15093,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,16,6,4,389,7.0,45,14.0,459.0
15094,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,17,4,3,318,4.0,35,9.0,369.0
15095,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,N,2012,2012-07-09,18,2,4,251,4.0,24,5.0,288.0
15096,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,7,3,2,276,4.0,60,9.0,351.0
15097,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,8,4,5,401,5.0,75,13.0,499.0
15098,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,9,6,3,325,4.0,51,9.0,392.0
15099,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,10,3,2,295,5.0,32,8.0,342.0
15100,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,11,1,1,272,6.0,42,10.0,331.0
15101,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,12,2,4,300,4.0,26,8.0,342.0
15102,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,13,2,2,269,5.0,35,10.0,321.0
15103,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,14,1,3,225,3.0,29,15.0,275.0
15104,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,15,3,3,256,6.0,23,17.0,305.0
15105,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,16,4,6,321,4.0,38,9.0,378.0
15106,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,17,2,2,276,5.0,56,9.0,348.0
15107,London,E09000016,Havering,942420,51.545374622,0.247667623,B1421,BU,S,2012,2012-07-09,18,1,4,207,3.0,41,6.0,261.0
15108,London,E09000016,Havering,942426,51.551087569,0.191938024,C,CU,E,2012,2012-05-04,7,0,0,251,11.0,30,7.0,299.0
15109,London,E09000016,Havering,942426,51.551087569,0.191938024,C,CU,E,2012,2012-05-04,8,1,0,395,13.0,41,16.0,465.0
15110,London,E09000016,Havering,942426,51.551087569,0.191938024,C,CU,E,2012,2012-05-04,9,0,0,203,14.0,39,18.0,274.0
15111,London,E09000016,Havering,942426,51.551087569,0.191938024,C,CU,E,2012,2012-05-04,10,0,0,240,12.0,27,19.0,298.0
15112,London,E09000016,Havering,942426,51.551087569,0.191938024,C,CU,E,2012,2012-05-04,11,0,0,201,15.0,33,23.0,272.0
