,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
9972,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,7,0,2,521,14.0,72,10.0,619.0
9973,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,8,0,5,714,22.0,119,24.0,884.0
9974,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,9,0,2,381,14.0,58,24.0,479.0
9975,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,10,0,6,422,14.0,51,32.0,525.0
9976,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,11,5,14,516,12.0,103,15.0,660.0
9977,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,12,3,12,607,10.0,124,17.0,770.0
9978,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,13,0,10,682,7.0,139,25.0,863.0
9979,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,14,2,15,609,11.0,181,66.0,882.0
9980,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,15,5,10,1215,13.0,217,80.0,1535.0
9981,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,16,8,15,1310,10.0,233,67.0,1635.0
9982,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,17,6,9,1230,8.0,181,65.0,1493.0
9983,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,N,2011,2011-06-28,18,3,7,976,8.0,110,57.0,1158.0
9984,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,7,0,8,996,11.0,98,11.0,1124.0
9985,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,8,3,10,1340,12.0,144,26.0,1532.0
9986,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,9,1,8,1728,20.0,96,40.0,1892.0
9987,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,10,0,6,1410,26.0,102,46.0,1590.0
9988,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,11,0,6,660,13.0,114,30.0,823.0
9989,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,12,0,2,462,8.0,108,38.0,618.0
9990,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,13,0,5,318,5.0,94,26.0,448.0
9991,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,14,2,8,510,9.0,103,42.0,672.0
9992,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,15,5,11,722,11.0,130,65.0,939.0
9993,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,16,0,6,881,7.0,159,55.0,1108.0
9994,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,17,4,9,710,10.0,121,45.0,895.0
9995,London,E09000017,Hillingdon,942661,51.553319668,-0.470439098,B483,BR,S,2011,2011-06-28,18,0,5,506,7.0,91,47.0,656.0
9996,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,7,4,6,261,9.0,31,3.0,310.0
9997,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,8,4,11,467,17.0,41,1.0,537.0
9998,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,9,1,14,317,11.0,31,1.0,374.0
9999,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,10,0,10,201,13.0,27,6.0,257.0
10000,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,11,1,2,281,9.0,39,2.0,333.0
10001,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,12,2,0,220,16.0,31,8.0,275.0
10002,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,13,1,8,245,15.0,37,3.0,308.0
10003,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,14,1,11,315,13.0,30,1.0,370.0
10004,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,15,3,15,425,17.0,38,1.0,496.0
10005,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,16,5,25,515,15.0,40,2.0,597.0
10006,London,E09000017,Hillingdon,942662,51.611716487,-0.432442634,B469,BU,E,2011,2011-06-10,17,11,15,525,13.0,37,1.0,591.0
