borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hillingdon,1,9,890,8,74,21,B483,BR,N,2012,2012-06-26,51.553319668,-0.47043909799999994
Hillingdon,4,10,905,16,105,44,B465,BU,E,2012,2012-07-03,51.522460583999994,-0.44866959200000001
Hillingdon,3,8,796,5,68,17,B466,BU,N,2012,2012-05-17,51.567550231000006,-0.44143611100000002
Hillingdon,0,3,389,5,39,8,B467,BU,E,2012,2012-10-18,51.565845330000002,-0.44781393700000005
Hillingdon,1,1,97,0,5,1,C,CU,N,2012,2012-05-18,51.587420242,-0.39586333200000001
Hillingdon,3,2,217,13,18,4,C,CU,N,2012,2012-06-12,51.528394911000007,-0.47469112799999996
Hillingdon,0,4,414,4,30,3,C,CU,N,2012,2012-09-19,51.575680562999999,-0.41469103799999996
Hillingdon,1,1,80,0,10,4,C,CU,N,2012,2012-05-25,51.524375378000002,-0.44184387200000003
Hillingdon,0,0,120,0,17,4,C,CU,E,2012,2012-07-12,51.486605238000003,-0.429491866
Hillingdon,3,6,809,11,88,31,U,UU,E,2012,2012-10-17,51.533056513999995,-0.45299520900000001
Hillingdon,0,0,78,0,8,0,U,UU,N,2012,2012-05-02,51.539491667,-0.44934511500000002
Hillingdon,0,0,70,0,9,1,U,UU,E,2012,2012-09-24,51.562960435000001,-0.38463408600000004
Hillingdon,0,0,52,0,5,1,U,UU,E,2012,2012-04-30,51.498853808,-0.42823529899999996
Hillingdon,1,0,54,0,4,1,U,UU,E,2012,2012-10-01,51.613245982999999,-0.41775896600000001
Hillingdon,2,0,41,0,6,0,U,UU,N,2012,2012-06-15,51.521390693999997,-0.43514227799999999
Hillingdon,0,0,25,0,1,0,U,UU,N,2012,2012-10-05,51.585135103999995,-0.39249399899999998
Hillingdon,1,0,75,0,5,0,U,UU,E,2012,2012-05-29,51.511669351000002,-0.41632309299999998
Hillingdon,0,0,10,0,1,0,U,UU,E,2012,2012-06-19,51.590561030000003,-0.40860079299999996
Hillingdon,0,0,5,0,0,0,U,UU,N,2012,2012-03-23,51.500568585000003,-0.42267262500000002
Hillingdon,0,0,113,2,38,20,U,UU,N,2012,2012-10-02,51.471405468,-0.42592470799999999
Hillingdon,0,0,18,0,3,0,U,UU,E,2012,2012-03-20,51.563280858999995,-0.43954782299999995
Hillingdon,0,0,11,0,0,0,U,UU,E,2012,2012-03-16,51.563109798999996,-0.39552146200000005
Hillingdon,0,1,68,0,8,1,U,UU,E,2012,2012-04-17,51.537893428999993,-0.427900224
Hillingdon,0,0,3,0,0,0,U,UU,E,2012,2012-06-21,51.515965354999999,-0.42617632700000002
