,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
8100,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,7,4,4,35,0.0,3,0.0,42.0
8101,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,8,13,6,58,0.0,1,2.0,67.0
8102,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,9,8,2,64,0.0,4,3.0,73.0
8103,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,10,1,3,62,0.0,2,1.0,68.0
8104,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,11,1,2,50,0.0,2,3.0,57.0
8105,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,12,2,0,71,1.0,7,0.0,79.0
8106,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,13,0,0,69,0.0,8,5.0,82.0
8107,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,14,0,0,52,0.0,2,1.0,55.0
8108,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,15,2,0,58,0.0,4,2.0,64.0
8109,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,16,5,2,64,0.0,6,1.0,73.0
8110,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,17,5,1,51,0.0,2,1.0,55.0
8111,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,N,2011,2011-05-23,18,8,2,43,0.0,3,0.0,48.0
8112,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,7,1,0,38,0.0,0,2.0,40.0
8113,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,8,3,1,58,0.0,2,1.0,62.0
8114,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,9,5,2,68,0.0,2,1.0,73.0
8115,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,10,3,2,46,0.0,4,3.0,55.0
8116,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,11,2,0,54,1.0,2,0.0,57.0
8117,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,12,3,0,48,0.0,5,0.0,53.0
8118,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,13,0,4,61,0.0,5,3.0,73.0
8119,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,14,0,0,48,0.0,3,0.0,51.0
8120,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,15,4,2,67,0.0,5,1.0,75.0
8121,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,16,5,1,59,0.0,1,3.0,64.0
8122,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,17,8,0,61,0.0,3,3.0,67.0
8123,London,E09000018,Hounslow,942454,51.463285559,-0.372579577,C,CU,S,2011,2011-05-23,18,4,0,47,0.0,5,0.0,52.0
8124,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,7,2,3,112,0.0,17,0.0,132.0
8125,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,8,6,5,245,0.0,18,0.0,268.0
8126,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,9,4,6,195,2.0,20,0.0,223.0
8127,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,10,3,3,110,0.0,15,0.0,128.0
8128,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,11,2,0,105,1.0,18,0.0,124.0
8129,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,12,0,5,104,0.0,13,0.0,122.0
8130,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,13,2,3,89,1.0,10,0.0,103.0
8131,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,14,3,1,72,0.0,8,0.0,81.0
8132,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,15,1,2,149,2.0,13,0.0,166.0
8133,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,16,7,5,189,0.0,18,0.0,212.0
8134,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,17,9,4,250,0.0,10,0.0,264.0
8135,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,N,2011,2011-11-01,18,7,1,197,0.0,7,0.0,205.0
8136,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,S,2011,2011-11-01,7,4,6,75,0.0,6,0.0,87.0
8137,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,S,2011,2011-11-01,8,5,7,127,1.0,7,0.0,142.0
8138,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,S,2011,2011-11-01,9,3,5,45,2.0,5,0.0,57.0
8139,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,S,2011,2011-11-01,10,3,2,28,0.0,6,0.0,36.0
8140,London,E09000018,Hounslow,942455,51.4938066,-0.295431533,C,CU,S,2011,2011-11-01,11,3,0,25,0.0,6,0.0,31.0
