borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Hounslow,3,1,88,0,9,1,C,CU,N,2013,2013-05-20,51.463285558999999,-0.37257957700000005
Hounslow,4,2,131,0,13,0,C,CU,N,2013,2013-10-22,51.493806599999999,-0.29543153300000002
Hounslow,3,4,251,11,42,7,C,CU,N,2013,2013-04-30,51.489502084999998,-0.38131147100000001
Hounslow,1,1,25,0,3,0,U,UU,E,2013,2013-07-05,51.441169381999998,-0.41162586499999998
Hounslow,1,9,140,0,16,5,U,UU,N,2013,2013-06-06,51.492442163999996,-0.29993363100000003
Hounslow,1,0,18,0,1,0,U,UU,N,2013,2013-10-15,51.491852278000003,-0.24824145
Hounslow,1,0,31,1,9,1,U,UU,E,2013,2013-10-03,51.454320281999998,-0.39936721200000003
Hounslow,5,5,213,9,40,14,B455,BU,N,2013,2013-09-27,51.485780755,-0.29944683
Hounslow,8,3,245,7,26,2,B361,BU,N,2013,2013-09-19,51.459639666000001,-0.36260414399999996
Hounslow,1,1,52,0,7,2,U,UU,E,2013,2013-05-15,51.470760554999998,-0.32737660099999999
