,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
8268,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,7,66,6,46,0.0,22,4.0,78.0
8269,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,8,43,9,55,0.0,27,14.0,105.0
8270,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,9,19,7,61,0.0,32,16.0,116.0
8271,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,10,20,5,70,3.0,27,14.0,119.0
8272,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,11,7,6,57,1.0,48,17.0,129.0
8273,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,12,16,4,130,0.0,71,29.0,234.0
8274,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,13,46,7,88,0.0,68,18.0,181.0
8275,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,14,33,5,97,1.0,51,16.0,170.0
8276,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,15,25,9,102,0.0,60,13.0,184.0
8277,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,16,44,10,100,2.0,30,2.0,144.0
8278,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,17,120,26,110,1.0,32,4.0,173.0
8279,London,E09000019,Islington,942482,51.52408907,-0.090309101,B144,BU,N,2011,2011-09-26,18,125,27,121,1.0,17,3.0,169.0
8280,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,7,23,10,143,2.0,48,0.0,203.0
8281,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,8,28,9,126,2.0,29,4.0,170.0
8282,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,9,23,4,170,0.0,26,3.0,203.0
8283,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,10,4,3,87,0.0,34,5.0,129.0
8284,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,11,5,2,84,0.0,18,1.0,105.0
8285,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,12,8,2,139,0.0,31,3.0,175.0
8286,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,13,7,8,81,0.0,23,6.0,118.0
8287,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,14,18,8,191,0.0,48,1.0,248.0
8288,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,15,27,3,208,0.0,82,4.0,297.0
8289,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,16,39,8,192,0.0,62,3.0,265.0
8290,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,17,53,14,222,0.0,28,4.0,268.0
8291,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,E,2011,2011-10-13,18,68,17,278,0.0,32,1.0,328.0
8292,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,7,91,19,222,0.0,50,4.0,295.0
8293,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,8,208,30,228,1.0,52,6.0,317.0
8294,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,9,124,13,181,0.0,45,7.0,246.0
8295,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,10,28,12,109,0.0,31,6.0,158.0
8296,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,11,9,8,118,0.0,23,0.0,149.0
8297,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,12,15,5,102,1.0,25,2.0,135.0
8298,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,13,5,8,86,0.0,20,4.0,118.0
8299,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,14,8,5,99,0.0,35,2.0,141.0
8300,London,E09000019,Islington,942484,51.543617354,-0.101173199,C,CU,W,2011,2011-10-13,15,18,5,88,0.0,33,0.0,126.0
