,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
47112,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,7,115,65,389,13.0,82,8.0,557.0
47113,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,8,159,128,397,12.0,56,8.0,601.0
47114,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,9,67,57,406,18.0,113,15.0,609.0
47115,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,10,17,25,299,12.0,70,17.0,423.0
47116,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,11,19,23,238,19.0,65,17.0,362.0
47117,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,12,16,31,262,15.0,55,16.0,379.0
47118,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,13,13,12,196,14.0,50,16.0,288.0
47119,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,14,10,10,209,14.0,43,10.0,286.0
47120,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,15,14,12,386,15.0,37,10.0,460.0
47121,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,16,11,13,202,14.0,34,9.0,272.0
47122,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,17,10,13,266,18.0,26,3.0,326.0
47123,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,E,2016,2016-05-23,18,19,20,309,15.0,24,3.0,371.0
47124,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,W,2016,2016-05-23,7,95,68,265,11.0,65,10.0,419.0
47125,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,W,2016,2016-05-23,8,110,93,332,12.0,55,13.0,505.0
47126,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,W,2016,2016-05-23,9,27,15,268,17.0,71,10.0,381.0
47127,London,E09000020,Kensington and Chelsea,942875,51.486450518,-0.160904211,B302,BU,W,2016,2016-05-23,10,18,13,291,14.0,76,16.0,410.0
