,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
4824,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,7,8,1,212,0.0,23,0.0,236.0
4825,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,8,13,8,469,1.0,46,9.0,533.0
4826,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,9,18,1,560,0.0,52,13.0,626.0
4827,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,10,11,2,433,0.0,41,8.0,484.0
4828,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,11,6,0,420,0.0,33,8.0,461.0
4829,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,12,9,1,382,1.0,28,7.0,419.0
4830,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,13,4,0,211,0.0,21,6.0,238.0
4831,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,14,2,0,221,1.0,24,3.0,249.0
4832,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,15,8,2,254,0.0,29,6.0,291.0
4833,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,16,11,0,278,0.0,26,3.0,307.0
4834,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,17,6,0,294,0.0,18,1.0,313.0
4835,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,N,2010,2010-07-05,18,9,0,118,0.0,11,0.0,129.0
4836,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,7,4,2,141,0.0,13,0.0,156.0
4837,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,8,8,6,169,0.0,22,1.0,198.0
4838,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,9,10,2,220,0.0,40,7.0,269.0
4839,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,10,8,1,209,0.0,36,9.0,255.0
4840,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,11,0,0,118,1.0,28,13.0,160.0
4841,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,12,3,1,128,0.0,19,6.0,154.0
4842,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,13,1,0,102,0.0,10,5.0,117.0
4843,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,14,5,2,191,0.0,14,8.0,215.0
4844,London,E09000021,Kingston upon Thames,942887,51.383591026,-0.298854128,B3364,BU,S,2010,2010-07-05,15,10,0,294,0.0,28,3.0,325.0
