borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Kingston upon Thames,9,4,170,2,24,7,B3364,BU,E,2011,2011-07-11,51.383591026000005,-0.298854128
Kingston upon Thames,9,4,317,7,30,5,B283,BU,N,2011,2011-04-07,51.406963187999999,-0.25788576200000002
Kingston upon Thames,2,1,210,12,22,1,C,CU,E,2011,2011-06-06,51.409830643999996,-0.26204741999999998
Kingston upon Thames,6,2,264,3,32,4,C,CU,N,2011,2011-09-21,51.393700638999995,-0.26586418300000003
Kingston upon Thames,9,0,31,0,3,0,U,UU,N,2011,2011-09-28,51.423067691000007,-0.296353123
Kingston upon Thames,1,0,81,6,15,1,U,UU,N,2011,2011-06-16,51.360713484999998,-0.29325248199999998
Kingston upon Thames,3,0,21,0,4,2,U,UU,E,2011,2011-07-01,51.379654691000006,-0.29283544500000003
Kingston upon Thames,0,0,4,0,0,0,U,UU,N,2011,2011-09-20,51.374906312,-0.27378733
Kingston upon Thames,0,0,47,0,4,0,U,UU,E,2011,2011-06-30,51.388108893000002,-0.29106922200000002
Kingston upon Thames,1,0,28,0,1,0,U,UU,E,2011,2011-07-01,51.376397678999993,-0.303862466
