borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Lambeth,21,11,165,7,43,10,B222,BU,N,2011,2011-09-27,51.463880291000002,-0.10117376300000001
Lambeth,17,8,176,2,32,8,B222,BU,N,2011,2011-10-17,51.454616708000003,-0.102767259
Lambeth,16,24,282,6,57,14,C,CU,N,2011,2011-09-30,51.460351188999994,-0.14246227
Lambeth,33,9,223,6,51,12,C,CU,N,2011,2011-10-11,51.472361643999996,-0.10737325199999999
Lambeth,17,8,177,0,37,7,C,CU,E,2011,2011-05-13,51.456974215000002,-0.13649618599999999
Lambeth,1,0,9,0,2,0,U,UU,N,2011,2011-05-17,51.423724426000007,-0.13623807300000002
Lambeth,0,0,12,0,1,0,U,UU,N,2011,2011-10-07,51.429040663999999,-0.136338233
Lambeth,0,0,13,0,4,0,U,UU,N,2011,2011-07-06,51.461450233999997,-0.12394794099999999
Lambeth,0,0,8,0,2,0,U,UU,W,2011,2011-05-04,51.489249058999995,-0.11626739300000001
Lambeth,0,0,47,0,8,0,U,UU,E,2011,2011-10-03,51.424517782999999,-0.10607105999999999
Lambeth,3,4,72,0,8,0,U,UU,E,2011,2011-11-01,51.43168549,-0.125685408
Lambeth,2,1,15,0,4,0,U,UU,E,2011,2011-04-01,51.440497466000004,-0.135785567
