,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
17388,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,7,7,3,103,2.0,15,4.0,127.0
17389,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,8,9,2,97,3.0,11,5.0,118.0
17390,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,9,7,5,85,1.0,14,6.0,111.0
17391,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,10,6,1,79,1.0,17,3.0,101.0
17392,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,11,4,0,129,1.0,32,2.0,164.0
17393,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,12,3,1,142,5.0,40,1.0,189.0
17394,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,13,0,0,167,0.0,39,3.0,209.0
17395,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,14,0,0,112,2.0,34,4.0,152.0
17396,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,15,1,2,167,0.0,52,5.0,226.0
17397,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,16,0,0,309,3.0,39,7.0,358.0
17398,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,17,92,5,294,0.0,86,1.0,386.0
17399,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,N,2012,2012-09-25,18,87,4,299,0.0,59,0.0,362.0
17400,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,7,96,56,251,41.0,92,25.0,465.0
17401,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,8,101,33,306,39.0,81,22.0,481.0
17402,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,9,46,11,320,20.0,42,16.0,409.0
17403,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,10,49,21,301,2.0,56,13.0,393.0
17404,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,11,11,0,243,2.0,88,7.0,340.0
17405,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,12,16,1,260,4.0,46,5.0,316.0
17406,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,13,14,4,126,0.0,33,10.0,173.0
17407,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,14,0,0,272,0.0,44,16.0,332.0
17408,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,15,1,0,248,6.0,40,5.0,299.0
17409,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,16,4,0,259,2.0,55,12.0,328.0
17410,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,17,2,3,214,0.0,39,6.0,262.0
17411,London,E09000022,Lambeth,942727,51.463880291,-0.101173763,B222,BU,S,2012,2012-09-25,18,6,1,202,0.0,45,11.0,259.0
17412,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,7,20,10,258,0.0,104,12.0,384.0
17413,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,8,62,42,246,2.0,88,17.0,395.0
17414,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,9,41,23,260,4.0,22,14.0,323.0
17415,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,10,10,8,139,1.0,44,6.0,198.0
17416,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,11,5,5,158,2.0,36,8.0,209.0
17417,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,12,4,6,151,0.0,32,3.0,192.0
17418,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,13,1,3,145,1.0,30,1.0,180.0
17419,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,14,0,6,122,0.0,24,9.0,161.0
17420,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,15,8,7,143,2.0,20,0.0,172.0
17421,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,16,7,10,132,3.0,25,7.0,177.0
17422,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,17,5,12,125,1.0,18,7.0,163.0
17423,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,N,2012,2012-10-15,18,7,11,137,2.0,21,0.0,171.0
17424,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,7,15,12,114,8.0,22,14.0,170.0
17425,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,8,44,8,133,3.0,32,5.0,181.0
17426,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,9,25,7,115,6.0,23,6.0,157.0
17427,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,10,12,8,121,3.0,40,2.0,174.0
17428,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,11,6,2,133,1.0,32,4.0,172.0
17429,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,12,4,3,102,0.0,30,3.0,138.0
17430,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,13,2,2,116,1.0,26,1.0,146.0
17431,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,14,10,8,123,3.0,10,0.0,144.0
17432,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,15,2,6,125,0.0,9,2.0,142.0
17433,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,16,5,15,175,4.0,20,4.0,218.0
17434,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,17,8,17,142,1.0,15,5.0,180.0
17435,London,E09000022,Lambeth,942729,51.454616708,-0.102767259,B222,BU,S,2012,2012-10-15,18,5,20,151,2.0,17,3.0,193.0
17436,London,E09000022,Lambeth,942733,51.460351189,-0.14246227,C,CU,N,2012,2012-09-28,7,36,58,354,5.0,171,33.0,621.0
