borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Lewisham,6,6,352,15,56,15,B212,BU,N,2011,2011-09-21,51.471470068999999,0.012576993999999999
Lewisham,12,4,401,19,87,9,B236,BU,E,2011,2011-09-15,51.456499583999999,-0.021908432999999998
Lewisham,0,9,201,9,41,6,C,CU,N,2011,2011-06-07,51.467721728000001,-0.0091128890000000008
Lewisham,4,9,263,8,44,4,C,CU,E,2011,2011-03-30,51.454013761999995,-0.036121594
Lewisham,10,12,618,33,108,11,C,CU,E,2011,2011-06-10,51.467441565000001,0.0073172649999999999
Lewisham,6,2,176,0,36,4,C,CU,N,2011,2011-05-20,51.463466924999999,-0.032476547000000001
Lewisham,1,10,4,3,2,0,U,UU,E,2011,2011-10-18,51.445376223999993,-0.043917880999999999
Lewisham,0,0,3,0,0,0,U,UU,N,2011,2011-06-15,51.431412098000003,-0.061332114000000007
Lewisham,3,7,207,9,62,40,U,UU,N,2011,2011-09-16,51.485199506000001,-0.053866400999999994
Lewisham,0,0,25,0,2,0,U,UU,N,2011,2011-04-04,51.479290265000003,-0.035468015999999998
Lewisham,1,2,20,0,5,0,U,UU,N,2011,2011-06-14,51.472095760000002,-0.026878369999999999
Lewisham,0,1,53,0,7,0,U,UU,E,2011,2011-06-22,51.426899916000004,0.015307474
Lewisham,0,0,12,0,2,0,U,UU,E,2011,2011-09-22,51.489875623000003,-0.049533087999999996
Lewisham,0,0,1,0,0,0,U,UU,E,2011,2011-10-14,51.466731328999998,-0.025526068999999998
Lewisham,4,5,197,4,49,15,B207,BU,E,2011,2011-06-08,51.478319721999995,-0.039268437000000003
