,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
17628,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,7,4,2,201,6.0,62,6.0,277.0
17629,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,8,9,4,239,12.0,57,13.0,325.0
17630,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,9,5,4,224,17.0,40,10.0,295.0
17631,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,10,1,2,237,13.0,44,7.0,303.0
17632,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,11,3,0,217,10.0,49,11.0,287.0
17633,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,12,0,1,206,8.0,38,8.0,261.0
17634,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,13,2,2,196,12.0,48,14.0,272.0
17635,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,14,4,0,214,11.0,42,11.0,278.0
17636,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,15,7,3,227,15.0,53,9.0,307.0
17637,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,16,11,4,246,14.0,46,10.0,320.0
17638,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,17,16,6,238,12.0,40,6.0,302.0
17639,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,E,2012,2012-03-28,18,14,3,227,9.0,33,4.0,276.0
17640,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,7,11,4,222,18.0,134,12.0,390.0
17641,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,8,5,2,280,12.0,68,21.0,383.0
17642,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,9,4,2,264,6.0,70,13.0,355.0
17643,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,10,1,0,246,14.0,69,13.0,342.0
17644,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,11,2,2,255,10.0,58,16.0,341.0
17645,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,12,1,3,239,9.0,65,12.0,328.0
17646,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,13,0,1,262,7.0,76,10.0,356.0
17647,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,14,0,2,246,11.0,67,10.0,336.0
17648,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,15,3,4,229,8.0,55,15.0,311.0
17649,London,E09000023,Lewisham,942763,51.454013762,-0.036121594,C,CU,W,2012,2012-03-28,16,2,5,234,12.0,59,9.0,319.0
