,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
4224,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,7,3,7,442,15.0,61,12.0,537.0
4225,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,8,4,9,463,18.0,67,14.0,571.0
4226,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,9,6,7,407,16.0,60,15.0,505.0
4227,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,10,3,10,393,15.0,57,10.0,485.0
4228,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,11,5,9,386,15.0,55,9.0,474.0
4229,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,12,4,7,365,13.0,47,9.0,441.0
4230,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,13,4,5,371,16.0,49,13.0,454.0
4231,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,14,6,7,369,15.0,43,8.0,442.0
4232,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,15,7,6,378,17.0,48,7.0,456.0
4233,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,16,5,4,382,17.0,50,9.0,462.0
4234,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,17,3,8,371,15.0,49,6.0,449.0
4235,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,N,2010,2010-10-13,18,5,6,360,13.0,40,3.0,422.0
4236,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,S,2010,2010-10-13,7,0,6,201,13.0,37,5.0,262.0
4237,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,S,2010,2010-10-13,8,0,3,259,14.0,32,8.0,316.0
4238,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,S,2010,2010-10-13,9,3,5,210,15.0,46,11.0,287.0
4239,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,S,2010,2010-10-13,10,3,4,191,13.0,47,11.0,266.0
4240,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,S,2010,2010-10-13,11,2,7,187,14.0,41,12.0,261.0
4241,London,E09000024,Merton,942792,51.407166097,-0.141153116,B272,BU,S,2010,2010-10-13,12,0,5,190,14.0,38,10.0,257.0
