,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
17976,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,7,5,1,173,9.0,15,1.0,199.0
17977,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,8,9,0,156,11.0,18,3.0,188.0
17978,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,9,12,4,205,14.0,27,4.0,254.0
17979,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,10,8,7,236,10.0,24,7.0,284.0
17980,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,11,6,3,164,13.0,16,4.0,200.0
17981,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,12,4,2,109,8.0,18,7.0,144.0
17982,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,13,4,0,76,8.0,10,4.0,98.0
17983,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,14,9,5,131,11.0,16,4.0,167.0
17984,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,15,8,7,94,9.0,11,3.0,124.0
17985,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,16,15,13,173,14.0,9,3.0,212.0
17986,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,17,13,8,147,8.0,7,4.0,174.0
17987,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2012,2012-09-20,18,7,3,96,9.0,13,1.0,122.0
17988,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,7,8,0,158,13.0,11,1.0,183.0
17989,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,8,6,0,118,10.0,13,2.0,143.0
17990,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,9,11,7,184,12.0,19,3.0,225.0
17991,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,10,7,3,215,9.0,23,5.0,255.0
17992,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,11,12,2,134,7.0,18,3.0,164.0
17993,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,12,4,6,112,14.0,14,1.0,147.0
17994,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,13,4,3,87,8.0,10,1.0,109.0
17995,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,14,12,0,94,11.0,17,5.0,127.0
17996,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,15,5,4,103,7.0,21,3.0,138.0
17997,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2012,2012-09-20,16,4,0,196,13.0,26,6.0,241.0
