,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
25176,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,7,2,3,411,10.0,16,6.0,446.0
25177,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,8,3,7,465,12.0,21,19.0,524.0
25178,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,9,5,15,383,12.0,45,15.0,470.0
25179,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,10,5,8,357,14.0,39,19.0,437.0
25180,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,11,4,3,335,11.0,33,17.0,399.0
25181,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,12,4,3,314,14.0,27,11.0,369.0
25182,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,13,3,2,327,13.0,23,15.0,380.0
25183,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,14,5,4,369,13.0,18,22.0,426.0
25184,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,15,7,15,387,12.0,33,41.0,488.0
25185,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,16,5,17,451,14.0,41,27.0,550.0
25186,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,17,7,21,487,14.0,35,21.0,578.0
25187,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,N,2013,2013-10-15,18,11,8,403,13.0,30,11.0,465.0
25188,London,E09000026,Redbridge,942831,51.58195421,0.117325267,B177,BU,S,2013,2013-10-15,7,3,7,478,11.0,34,5.0,535.0
