,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
18312,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,7,5,8,178,13.0,31,3.0,233.0
18313,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,8,6,3,248,11.0,25,6.0,293.0
18314,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,9,2,4,198,14.0,34,8.0,258.0
18315,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,10,1,0,173,16.0,29,3.0,221.0
18316,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,11,3,0,152,14.0,32,7.0,205.0
18317,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,12,6,2,142,17.0,22,6.0,189.0
18318,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,13,1,4,151,15.0,25,2.0,197.0
18319,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,14,7,3,244,18.0,29,9.0,303.0
18320,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,15,6,1,269,19.0,38,11.0,338.0
18321,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,16,2,3,211,17.0,24,8.0,263.0
18322,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,17,0,0,195,14.0,19,3.0,231.0
18323,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,N,2012,2012-09-26,18,0,4,186,15.0,13,0.0,218.0
18324,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,7,9,11,203,17.0,41,6.0,278.0
18325,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,8,19,9,285,12.0,47,6.0,359.0
18326,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,9,7,2,242,14.0,51,8.0,317.0
18327,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,10,1,0,197,15.0,40,3.0,255.0
18328,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,11,0,3,177,12.0,26,2.0,220.0
18329,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,12,3,1,169,11.0,33,4.0,218.0
18330,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,13,0,2,156,14.0,28,2.0,202.0
18331,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,14,4,0,192,17.0,36,6.0,251.0
18332,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,15,6,0,211,15.0,24,8.0,258.0
18333,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,16,1,3,178,13.0,19,4.0,217.0
18334,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,17,3,5,188,14.0,11,1.0,219.0
18335,London,E09000027,Richmond upon Thames,942848,51.427084748,-0.340680871,B358,BU,S,2012,2012-09-26,18,0,0,165,11.0,12,0.0,188.0
18336,London,E09000027,Richmond upon Thames,942851,51.465111266,-0.288597268,B353,BU,N,2012,2012-10-15,7,9,8,211,7.0,50,36.0,312.0
18337,London,E09000027,Richmond upon Thames,942851,51.465111266,-0.288597268,B353,BU,N,2012,2012-10-15,8,11,9,227,4.0,59,46.0,345.0
18338,London,E09000027,Richmond upon Thames,942851,51.465111266,-0.288597268,B353,BU,N,2012,2012-10-15,9,3,5,188,2.0,36,15.0,246.0
18339,London,E09000027,Richmond upon Thames,942851,51.465111266,-0.288597268,B353,BU,N,2012,2012-10-15,10,2,4,152,1.0,29,8.0,194.0
18340,London,E09000027,Richmond upon Thames,942851,51.465111266,-0.288597268,B353,BU,N,2012,2012-10-15,11,1,3,162,0.0,31,9.0,205.0
18341,London,E09000027,Richmond upon Thames,942851,51.465111266,-0.288597268,B353,BU,N,2012,2012-10-15,12,4,1,149,0.0,25,7.0,182.0
