borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Richmond upon Thames,8,4,261,17,36,3,B358,BU,N,2014,2014-10-08,51.427084747999999,-0.340680871
Richmond upon Thames,3,3,226,1,38,4,B353,BU,N,2014,2014-10-13,51.465111266000001,-0.28859726800000002
Richmond upon Thames,15,10,294,3,65,8,B349,BU,N,2014,2014-10-06,51.471145551000006,-0.24602538899999998
Richmond upon Thames,6,2,240,1,31,7,C,CU,E,2014,2014-05-12,51.453134626999997,-0.35849028899999996
Richmond upon Thames,2,1,111,3,17,3,C,CU,E,2014,2014-09-25,51.422266541999996,-0.37741698100000004
Richmond upon Thames,3,2,40,0,2,1,U,UU,E,2014,2014-06-20,51.467716938000002,-0.27862314399999999
Richmond upon Thames,1,0,10,0,1,0,U,UU,E,2014,2014-05-19,51.449380503999997,-0.38146425499999997
Richmond upon Thames,1,0,9,0,0,0,U,UU,E,2014,2014-10-07,51.435097631000005,-0.33059295699999997
Richmond upon Thames,0,0,20,0,1,0,U,UU,N,2014,2014-10-08,51.484193009999998,-0.286125878
Richmond upon Thames,12,5,391,18,54,11,B358,BU,N,2014,2014-05-13,51.434778638999994,-0.34678992799999997
Richmond upon Thames,3,0,43,0,5,1,U,UU,E,2014,2014-10-02,51.445818221000003,-0.353600884
