,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
46284,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,7,22,25,347,5.0,209,41.0,627.0
46285,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,8,80,31,401,7.0,227,30.0,696.0
46286,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,9,35,14,293,8.0,148,33.0,496.0
46287,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,10,13,9,272,10.0,130,43.0,464.0
46288,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,11,14,10,288,6.0,111,39.0,454.0
46289,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,12,11,9,266,8.0,106,50.0,439.0
46290,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,13,16,20,248,10.0,93,27.0,398.0
46291,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,14,16,17,229,10.0,74,24.0,354.0
46292,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,15,12,12,193,8.0,51,8.0,272.0
46293,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,16,19,15,239,12.0,56,4.0,326.0
46294,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,17,15,9,266,7.0,48,5.0,335.0
46295,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,N,2016,2016-09-30,18,23,14,339,6.0,72,1.0,432.0
46296,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,7,9,6,196,8.0,111,18.0,339.0
46297,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,8,13,8,227,11.0,137,19.0,402.0
46298,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,9,11,10,237,6.0,169,27.0,449.0
46299,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,10,10,8,238,8.0,127,39.0,420.0
46300,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,11,12,9,299,8.0,209,23.0,548.0
46301,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,12,8,10,295,8.0,188,25.0,526.0
46302,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,13,17,21,344,13.0,149,26.0,553.0
46303,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,14,14,21,393,7.0,262,19.0,702.0
46304,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,15,21,17,358,6.0,257,25.0,663.0
46305,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,16,22,24,441,9.0,211,23.0,708.0
46306,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,17,50,26,458,5.0,216,18.0,723.0
46307,London,E09000028,Southwark,942776,51.485199506,-0.053866401,U,UU,S,2016,2016-09-30,18,48,48,498,4.0,158,0.0,708.0
