borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Sutton,1,2,266,0,46,3,B278,BR,E,2015,2015-10-14,51.341722673999996,-0.16832567800000001
Sutton,1,5,351,5,76,10,B272,BU,N,2015,2015-10-07,51.361012514999999,-0.13078400800000001
Sutton,6,8,493,14,72,6,B2230,BU,N,2015,2015-07-03,51.352657828000005,-0.19205998199999999
Sutton,0,0,68,0,11,0,B283,BU,E,2015,2015-10-07,51.340483066000004,-0.20324986899999997
Sutton,1,1,418,12,70,17,C,CU,E,2015,2015-06-12,51.385589793000001,-0.17876196
Sutton,1,0,35,0,6,0,U,UU,E,2015,2015-05-19,51.365706916999997,-0.20908643800000001
Sutton,0,0,65,4,9,0,U,UU,E,2015,2015-04-30,51.356753691999998,-0.18767608300000002
Sutton,0,0,3,0,0,0,U,UU,N,2015,2015-09-21,51.349879379999997,-0.18800477100000001
Sutton,0,0,2,0,0,0,U,UU,N,2015,2015-05-22,51.351826771999995,-0.16120168599999998
Sutton,0,0,55,0,7,0,U,UU,N,2015,2015-10-05,51.353589278000001,-0.15205445000000001
Sutton,1,7,530,12,125,26,B272,BU,N,2015,2015-03-26,51.370944227999999,-0.13214673199999999
Sutton,0,0,11,0,1,0,U,UU,N,2015,2015-09-24,51.348150346000004,-0.19834041300000002
Sutton,2,0,61,0,9,0,U,UU,N,2015,2015-05-11,51.356550293000005,-0.134053649
