,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
47448,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,7,1,1,315,0.0,65,3.0,384.0
47449,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,8,2,1,389,3.0,55,5.0,453.0
47450,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,9,0,2,271,0.0,54,8.0,335.0
47451,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,10,1,1,232,1.0,38,2.0,274.0
47452,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,11,0,0,204,1.0,32,3.0,240.0
47453,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,12,2,2,263,0.0,45,7.0,317.0
47454,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,13,1,2,315,2.0,39,11.0,369.0
47455,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,14,10,2,318,0.0,52,8.0,380.0
47456,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,15,3,6,357,0.0,75,9.0,447.0
47457,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,16,1,2,375,0.0,76,5.0,458.0
47458,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,17,6,2,448,0.0,48,0.0,498.0
47459,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,E,2016,2016-10-12,18,2,4,295,0.0,26,1.0,326.0
47460,London,E09000029,Sutton,942913,51.341722674,-0.168325678,B278,BR,W,2016,2016-10-12,7,4,5,394,0.0,68,2.0,469.0
