borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Tower Hamlets,11,10,210,23,79,12,B142,BU,N,2014,2014-10-07,51.534992163999995,-0.027519182000000003
Tower Hamlets,189,4,69,0,26,5,B126,BU,E,2014,2014-10-01,51.510897972999999,-0.067312544000000002
Tower Hamlets,16,30,240,20,40,14,C,CU,N,2014,2014-07-04,51.505693503999993,-0.010974147
Tower Hamlets,13,3,122,3,19,7,C,CU,E,2014,2014-10-15,51.520976983000004,-0.028845579999999999
Tower Hamlets,3,3,60,0,8,3,C,CU,N,2014,2014-05-14,51.514829156000005,-0.057057269000000001
Tower Hamlets,1,1,69,5,8,1,C,CU,E,2014,2014-09-26,51.490287223999999,-0.022030805000000001
Tower Hamlets,11,9,241,9,43,8,C,CU,E,2014,2014-10-09,51.500492987000001,-0.019312436000000002
Tower Hamlets,11,3,157,5,27,6,C,CU,N,2014,2014-10-15,51.514895744999997,-0.019638935999999999
Tower Hamlets,4,6,143,7,26,9,U,UU,N,2014,2014-10-09,51.505357153999995,-0.023525302999999997
Tower Hamlets,3,1,47,0,8,2,C,CU,N,2014,2014-05-13,51.508475528000005,-0.055137164000000002
Tower Hamlets,1,0,27,0,3,1,U,UU,N,2014,2014-05-09,51.499071018000002,-0.022976034999999999
