,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
40488,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,7,29,25,339,24.0,208,21.0,617.0
40489,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,8,41,27,371,20.0,133,21.0,572.0
40490,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,9,16,12,333,28.0,121,14.0,508.0
40491,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,10,18,9,306,27.0,109,27.0,478.0
40492,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,11,9,8,225,26.0,92,21.0,372.0
40493,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,12,5,8,168,29.0,49,12.0,266.0
40494,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,13,6,10,172,24.0,46,11.0,263.0
40495,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,14,9,5,183,21.0,35,2.0,246.0
40496,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,15,11,3,199,21.0,25,6.0,254.0
40497,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,16,10,6,202,23.0,43,1.0,275.0
40498,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,17,14,7,211,22.0,21,3.0,264.0
40499,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,N,2015,2015-10-13,18,19,3,248,19.0,17,3.0,290.0
40500,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,7,19,7,133,19.0,37,5.0,201.0
40501,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,8,12,6,172,23.0,39,9.0,249.0
40502,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,9,11,5,172,29.0,51,8.0,265.0
40503,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,10,8,5,159,21.0,68,18.0,271.0
40504,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,11,8,5,159,18.0,66,21.0,269.0
40505,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,12,11,3,197,20.0,91,18.0,329.0
40506,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,13,9,9,182,19.0,97,5.0,312.0
40507,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,14,13,8,194,25.0,103,22.0,352.0
40508,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,15,12,10,204,24.0,118,21.0,377.0
40509,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,16,8,21,221,19.0,102,9.0,372.0
40510,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,17,22,21,246,19.0,115,9.0,410.0
40511,London,E09000030,Tower Hamlets,942944,51.534992164,-0.027519182,B142,BU,S,2015,2015-10-13,18,24,23,259,21.0,127,3.0,433.0
40512,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,7,175,0,0,0.0,0,0.0,0.0
40513,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,8,272,0,0,0.0,0,0.0,0.0
40514,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,9,128,0,0,0.0,0,0.0,0.0
40515,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,10,38,0,0,0.0,0,0.0,0.0
40516,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,11,31,0,0,0.0,0,0.0,0.0
40517,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,12,31,0,0,0.0,0,0.0,0.0
40518,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,13,29,0,0,0.0,0,0.0,0.0
40519,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,14,36,0,0,0.0,0,0.0,0.0
40520,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,15,59,0,0,0.0,0,0.0,0.0
40521,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,16,104,0,0,0.0,0,0.0,0.0
40522,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,17,156,0,1,0.0,0,0.0,1.0
40523,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,E,2015,2015-10-07,18,346,0,0,0.0,0,0.0,0.0
40524,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,7,248,19,112,0.0,83,13.0,227.0
40525,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,8,546,14,122,3.0,61,11.0,211.0
40526,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,9,286,13,127,0.0,70,12.0,222.0
40527,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,10,60,11,130,1.0,67,18.0,227.0
40528,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,11,50,8,144,1.0,67,14.0,234.0
40529,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,12,36,3,110,0.0,37,10.0,160.0
40530,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,13,28,3,100,1.0,30,11.0,145.0
40531,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,14,39,10,102,1.0,24,4.0,141.0
40532,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,15,42,10,105,0.0,15,7.0,137.0
40533,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,16,59,3,113,0.0,22,4.0,142.0
40534,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,17,272,7,132,0.0,24,2.0,165.0
40535,London,E09000030,Tower Hamlets,942947,51.510897973,-0.067312544,B126,BU,W,2015,2015-10-07,18,221,4,153,0.0,30,1.0,188.0
40536,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,7,6,5,98,11.0,29,14.0,157.0
40537,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,8,2,7,105,14.0,24,10.0,160.0
40538,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,9,3,2,103,10.0,30,27.0,172.0
40539,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,10,3,6,91,16.0,44,21.0,178.0
40540,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,11,3,10,125,10.0,50,21.0,216.0
40541,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,12,8,12,121,12.0,42,16.0,203.0
40542,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,13,12,14,136,15.0,55,14.0,234.0
40543,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,14,14,18,185,16.0,38,12.0,269.0
40544,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,15,10,27,161,10.0,32,14.0,244.0
40545,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,16,38,49,286,23.0,41,5.0,404.0
40546,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,17,101,97,327,40.0,19,2.0,485.0
40547,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,N,2015,2015-07-03,18,48,53,253,42.0,18,3.0,369.0
40548,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,7,58,65,334,61.0,67,18.0,545.0
40549,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,8,87,95,454,39.0,61,24.0,673.0
40550,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,9,36,41,301,16.0,50,29.0,437.0
40551,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,10,10,11,192,10.0,65,28.0,306.0
40552,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,11,8,20,201,14.0,54,25.0,314.0
40553,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,12,4,14,195,10.0,42,10.0,271.0
40554,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,13,8,9,169,13.0,27,10.0,228.0
40555,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,14,10,10,196,13.0,26,11.0,256.0
40556,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,15,4,5,201,11.0,25,12.0,254.0
40557,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,16,11,13,230,12.0,18,5.0,278.0
40558,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,17,7,11,297,13.0,14,4.0,339.0
40559,London,E09000030,Tower Hamlets,942951,51.505693504,-0.010974147,C,CU,S,2015,2015-07-03,18,6,14,293,14.0,12,6.0,339.0
40560,London,E09000030,Tower Hamlets,942957,51.520976983,-0.02884558,C,CU,E,2015,2015-10-21,7,7,2,60,5.0,22,2.0,91.0
40561,London,E09000030,Tower Hamlets,942957,51.520976983,-0.02884558,C,CU,E,2015,2015-10-21,8,12,2,103,4.0,23,3.0,135.0
40562,London,E09000030,Tower Hamlets,942957,51.520976983,-0.02884558,C,CU,E,2015,2015-10-21,9,3,1,116,5.0,25,6.0,153.0
40563,London,E09000030,Tower Hamlets,942957,51.520976983,-0.02884558,C,CU,E,2015,2015-10-21,10,3,1,107,6.0,24,7.0,145.0
40564,London,E09000030,Tower Hamlets,942957,51.520976983,-0.02884558,C,CU,E,2015,2015-10-21,11,3,1,124,3.0,16,12.0,156.0
40565,London,E09000030,Tower Hamlets,942957,51.520976983,-0.02884558,C,CU,E,2015,2015-10-21,12,4,0,127,6.0,13,9.0,155.0
40566,London,E09000030,Tower Hamlets,942957,51.520976983,-0.02884558,C,CU,E,2015,2015-10-21,13,2,2,118,6.0,19,3.0,148.0
