,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
12732,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,7,7,8,161,6.0,18,15.0,208.0
12733,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,8,6,12,364,8.0,26,10.0,420.0
12734,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,9,4,8,196,13.0,23,12.0,252.0
12735,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,10,3,6,164,9.0,26,8.0,213.0
12736,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,11,2,3,197,14.0,43,8.0,265.0
12737,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,12,1,2,174,13.0,61,10.0,260.0
12738,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,13,3,5,243,11.0,54,6.0,319.0
12739,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,14,2,4,342,9.0,54,8.0,417.0
12740,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,15,3,3,323,15.0,65,12.0,418.0
12741,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,16,6,11,356,14.0,68,8.0,457.0
12742,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,17,5,4,421,16.0,56,11.0,508.0
12743,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,N,2011,2011-10-04,18,3,2,314,12.0,39,7.0,374.0
12744,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,7,12,4,433,11.0,68,12.0,528.0
12745,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,8,9,2,441,12.0,41,8.0,504.0
12746,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,9,6,3,331,16.0,38,11.0,399.0
12747,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,10,4,5,269,11.0,33,9.0,327.0
12748,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,11,2,6,201,13.0,52,8.0,280.0
12749,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,12,1,1,216,12.0,48,8.0,285.0
12750,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,13,3,3,265,13.0,56,5.0,342.0
12751,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,14,2,4,296,15.0,72,19.0,406.0
12752,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,15,4,1,282,14.0,46,7.0,350.0
12753,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,16,7,6,264,18.0,40,11.0,339.0
12754,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,17,5,6,321,16.0,42,11.0,396.0
12755,London,E09000031,Waltham Forest,942972,51.603243075,-0.002901531,B160,BU,S,2011,2011-10-04,18,3,4,286,12.0,31,7.0,340.0
12756,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,7,3,2,43,0.0,7,1.0,53.0
12757,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,8,2,1,69,1.0,11,0.0,82.0
12758,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,9,2,2,56,0.0,4,2.0,64.0
12759,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,10,0,3,53,0.0,5,1.0,62.0
12760,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,11,0,1,40,0.0,20,2.0,63.0
12761,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,12,0,2,42,0.0,8,0.0,52.0
12762,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,13,2,0,58,0.0,9,0.0,67.0
12763,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,14,1,1,72,1.0,8,0.0,82.0
12764,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,15,3,2,68,0.0,7,0.0,77.0
12765,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,16,2,0,71,0.0,9,0.0,80.0
12766,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,17,0,1,63,0.0,11,1.0,76.0
12767,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,E,2011,2011-10-11,18,0,2,51,0.0,6,0.0,59.0
12768,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,7,2,4,98,0.0,12,1.0,115.0
12769,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,8,3,5,137,0.0,21,0.0,163.0
12770,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,9,3,2,92,0.0,14,0.0,108.0
12771,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,10,1,4,97,0.0,11,0.0,112.0
12772,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,11,0,0,47,0.0,8,2.0,57.0
12773,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,12,0,1,38,0.0,7,0.0,46.0
12774,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,13,1,0,52,0.0,8,1.0,61.0
12775,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,14,0,0,53,0.0,12,2.0,67.0
12776,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,15,2,1,72,0.0,15,2.0,90.0
12777,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,16,3,2,81,0.0,19,1.0,103.0
12778,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,17,1,1,103,0.0,23,0.0,127.0
12779,London,E09000031,Waltham Forest,942982,51.632981811,0.004459188,U,UU,W,2011,2011-10-11,18,0,0,73,0.0,14,1.0,88.0
13692,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,7,6,10,352,16.0,164,16.0,558.0
13693,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,8,13,7,462,8.0,104,28.0,609.0
13694,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,9,15,11,390,10.0,108,32.0,551.0
13695,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,10,8,2,224,12.0,91,18.0,347.0
13696,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,11,10,3,211,9.0,86,10.0,319.0
13697,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,12,11,6,238,8.0,76,21.0,349.0
13698,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,13,15,12,198,4.0,92,16.0,322.0
13699,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,14,12,10,220,6.0,54,27.0,317.0
13700,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,15,17,11,235,7.0,63,22.0,338.0
13701,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,16,21,16,258,5.0,54,30.0,363.0
13702,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,17,11,9,265,9.0,69,28.0,380.0
13703,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,N,2011,2011-10-14,18,8,12,230,7.0,49,19.0,317.0
13704,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,7,18,5,270,14.0,84,26.0,399.0
13705,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,8,21,4,360,12.0,62,16.0,454.0
13706,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,9,17,6,262,11.0,58,28.0,365.0
13707,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,10,6,2,276,18.0,44,29.0,369.0
13708,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,11,8,6,248,13.0,46,27.0,340.0
13709,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,12,7,8,201,11.0,38,23.0,281.0
13710,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,13,10,9,213,8.0,37,22.0,289.0
13711,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,14,13,11,223,15.0,28,21.0,298.0
13712,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,15,15,13,238,10.0,30,21.0,312.0
13713,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,16,16,16,243,8.0,34,24.0,325.0
13714,London,E09000031,Waltham Forest,951764,51.568790492,0.01143221,C,CU,S,2011,2011-10-14,17,10,12,264,13.0,39,28.0,356.0
