borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Wandsworth,13,10,258,2,58,3,B242,BU,E,2014,2014-06-04,51.434778979999997,-0.14149994499999999
Wandsworth,19,18,206,8,76,13,B234,BU,N,2014,2014-09-10,51.445199346000003,-0.18614809399999999
Wandsworth,9,9,343,2,55,2,C,CU,E,2014,2014-06-13,51.454946268999997,-0.25299387800000001
Wandsworth,42,13,85,13,23,2,C,CU,E,2014,2014-05-20,51.460006093999993,-0.18880004399999997
Wandsworth,10,10,232,4,50,7,C,CU,N,2014,2014-06-27,51.433779346000001,-0.18096078500000001
Wandsworth,8,5,132,0,24,1,U,UU,N,2014,2014-05-14,51.452176905000002,-0.20950433899999998
Wandsworth,1,0,9,0,2,0,U,UU,E,2014,2014-04-28,51.467210936000001,-0.15603409300000001
Wandsworth,1,0,18,0,2,0,U,UU,N,2014,2014-09-22,51.421676261000002,-0.15113608000000001
Wandsworth,7,2,39,0,8,1,U,UU,N,2014,2014-10-02,51.454354987999999,-0.18332393999999999
Wandsworth,1,0,22,0,3,0,U,UU,N,2014,2014-10-07,51.456153018999998,-0.23509943
Wandsworth,4,0,27,0,3,0,U,UU,E,2014,2014-10-01,51.436452618000004,-0.15294227699999999
Wandsworth,1,0,34,0,3,0,U,UU,N,2014,2014-06-11,51.450656523999996,-0.24154318699999999
