,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
47964,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,7,19,5,233,1.0,38,3.0,280.0
47965,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,8,26,3,394,4.0,51,3.0,455.0
47966,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,9,3,7,256,2.0,51,2.0,318.0
47967,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,10,5,6,170,4.0,61,3.0,244.0
47968,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,11,8,9,209,7.0,74,5.0,304.0
47969,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,12,2,10,243,4.0,69,3.0,329.0
47970,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,13,2,10,267,2.0,72,9.0,360.0
47971,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,14,6,5,248,3.0,89,12.0,357.0
47972,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,15,15,14,384,4.0,86,4.0,492.0
47973,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,16,16,20,524,3.0,133,1.0,681.0
47974,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,17,51,35,453,3.0,124,2.0,617.0
47975,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,E,2016,2016-05-18,18,65,35,425,2.0,87,1.0,550.0
47976,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,W,2016,2016-05-18,7,64,44,377,5.0,127,4.0,557.0
47977,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,W,2016,2016-05-18,8,58,35,389,6.0,86,4.0,520.0
47978,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,W,2016,2016-05-18,9,14,13,287,2.0,83,5.0,390.0
47979,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,W,2016,2016-05-18,10,6,8,201,2.0,61,4.0,276.0
47980,London,E09000032,Wandsworth,942983,51.43477898,-0.141499945,B242,BU,W,2016,2016-05-18,11,5,11,224,4.0,60,7.0,306.0
