borough,PC,MV,CAR,BUS,LGV,HGV,Road,RCat,iDir,Year,dCount,lat,lng
Westminster,64,19,237,35,99,18,B323,BU,E,2011,2011-09-19,51.494791436000007,-0.125993629
Westminster,36,10,192,9,40,6,B324,BU,N,2011,2011-06-15,51.493986908999993,-0.13701838299999999
Westminster,59,45,253,0,92,23,B506,BU,S,2011,2011-09-15,51.519612866000003,-0.14251681199999999
Westminster,1,0,12,0,3,1,U,UU,N,2011,2011-06-20,51.490885632000001,-0.14162475999999999
Westminster,4,2,14,0,3,0,U,UU,N,2011,2011-04-04,51.516547019999997,-0.194384311
Westminster,0,0,4,0,1,0,U,UU,N,2011,2011-05-26,51.517373938999995,-0.19260760600000001
Westminster,7,1,18,0,2,0,U,UU,N,2011,2011-07-07,51.512258426999999,-0.18976922399999999
Westminster,7,16,77,0,46,8,U,UU,W,2011,2011-06-17,51.514430671000007,-0.13668882900000001
Westminster,10,1,41,0,9,1,U,UU,N,2011,2011-10-31,51.512689818000005,-0.16889826300000002
Westminster,10,0,17,0,6,1,B414,BU,S,2011,2011-09-12,51.527375661000001,-0.19800695800000001
