,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
20640,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,7,21,18,138,25.0,62,23.0,266.0
20641,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,8,58,12,205,56.0,68,29.0,370.0
20642,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,9,23,17,172,43.0,72,28.0,332.0
20643,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,10,12,12,126,40.0,88,41.0,307.0
20644,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,11,10,15,132,42.0,91,43.0,323.0
20645,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,12,20,16,138,30.0,63,41.0,288.0
20646,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,13,17,14,147,27.0,49,31.0,268.0
20647,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,14,12,23,160,36.0,37,23.0,279.0
20648,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,15,49,27,185,39.0,48,18.0,317.0
20649,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,16,64,43,203,47.0,63,11.0,367.0
20650,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,17,71,49,215,49.0,71,11.0,395.0
20651,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,E,2013,2013-09-16,18,63,41,196,43.0,69,5.0,354.0
20652,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,7,96,25,252,29.0,16,46.0,368.0
20653,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,8,194,59,267,34.0,34,55.0,449.0
20654,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,9,202,38,248,32.0,32,33.0,383.0
20655,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,10,66,29,251,41.0,41,47.0,409.0
20656,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,11,42,18,233,36.0,36,37.0,360.0
20657,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,12,18,13,196,44.0,44,32.0,329.0
20658,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,13,23,17,202,37.0,37,31.0,324.0
20659,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,14,19,21,213,29.0,29,22.0,314.0
20660,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,15,31,19,197,27.0,27,26.0,296.0
20661,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,16,53,39,224,39.0,39,25.0,366.0
20662,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,17,41,33,189,36.0,36,19.0,313.0
20663,London,E09000033,Westminster,942317,51.494791436,-0.125993629,B323,BU,W,2013,2013-09-16,18,37,39,193,29.0,29,17.0,307.0
20664,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,7,34,14,146,25.0,47,15.0,247.0
20665,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,8,76,19,178,21.0,53,11.0,282.0
20666,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,9,52,15,185,18.0,41,15.0,274.0
20667,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,10,23,11,153,19.0,36,18.0,237.0
20668,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,11,13,6,136,15.0,31,23.0,211.0
20669,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,12,11,8,161,17.0,39,24.0,249.0
20670,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,13,13,7,143,19.0,43,26.0,238.0
20671,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,14,23,11,161,20.0,46,22.0,260.0
20672,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,15,33,16,169,23.0,51,12.0,271.0
20673,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,16,26,14,193,18.0,21,4.0,250.0
20674,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,17,28,17,207,21.0,24,7.0,276.0
20675,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,N,2013,2013-06-12,18,21,15,184,19.0,20,3.0,241.0
20676,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,S,2013,2013-06-12,7,11,3,104,0.0,30,8.0,145.0
20677,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,S,2013,2013-06-12,8,32,8,135,3.0,44,12.0,202.0
20678,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,S,2013,2013-06-12,9,14,6,154,1.0,48,6.0,215.0
20679,London,E09000033,Westminster,942319,51.493986909,-0.137018383,B324,BU,S,2013,2013-06-12,10,15,6,113,1.0,38,24.0,182.0
