,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
32304,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,7,5,1,56,11.0,7,2.0,77.0
32305,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,8,8,0,91,10.0,12,4.0,117.0
32306,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,9,6,2,71,11.0,18,7.0,109.0
32307,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,10,2,2,83,12.0,15,3.0,115.0
32308,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,11,0,2,90,12.0,14,2.0,120.0
32309,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,12,0,2,81,11.0,25,5.0,124.0
32310,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,13,7,6,103,12.0,26,2.0,149.0
32311,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,14,5,2,118,8.0,13,4.0,145.0
32312,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,15,4,4,118,12.0,21,2.0,157.0
32313,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,16,3,7,102,11.0,15,2.0,137.0
32314,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,17,5,4,130,12.0,24,0.0,170.0
32315,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,E,2014,2014-09-18,18,7,3,145,10.0,16,1.0,175.0
32316,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,7,8,0,71,10.0,18,5.0,104.0
32317,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,8,3,0,154,14.0,30,4.0,202.0
32318,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,9,5,5,120,11.0,21,8.0,165.0
32319,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,10,1,2,118,11.0,27,3.0,161.0
32320,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,11,2,6,116,10.0,26,1.0,159.0
32321,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,12,2,5,136,11.0,29,3.0,184.0
32322,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,13,4,6,136,12.0,30,4.0,188.0
32323,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,14,4,5,148,11.0,18,4.0,186.0
32324,London,E09000025,Newham,942814,51.55426316,0.022663264,B161,BU,W,2014,2014-09-18,15,4,4,198,13.0,29,1.0,245.0
